#ZVView-data-copy:  30-May-2023 21:34:47
#=======================================
#
#name:   29-CU-63(N,A)27-CO-60,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  133
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         12.67        0.085       0.0391       0.0027  # 1967,A.Paulsen+          ## 20388004  #dY:6.9%   
         12.82         0.45       0.0551       0.0063  # 1990,Lu Hanlin+          ## 31407002  #dY:11.4%  
         12.86         0.11       0.0381       0.0027  # 1967,A.Paulsen+          ## 20388004  #dY:7.1%   
         13.24        0.145       0.0382       0.0027  # 1967,A.Paulsen+          ## 20388004  #dY:7.1%   
         13.32            0        0.046       0.0026  # 1993,C.Konno+            ## 22637005  #dY:5.7%   
         13.35            0      0.04507      0.00216  # 2004,V.Semkova+          ## 22745002  #dY:4.8%   
         13.47            0       0.0476    0.0026418  # 2016,A.A.Filatenkov      ## 41614030  #dY:5.6%   
         13.54        0.165       0.0378       0.0026  # 1967,A.Paulsen+          ## 20388004  #dY:6.9%   
         13.56            0       0.0456       0.0025  # 1993,C.Konno+            ## 22637005  #dY:5.5%   
         13.64        0.025       0.0583       0.0031  # 1990,Wang Yongchang+     ## 32576002  #dY:5.3%   
         13.64            0       0.0459    0.0015055  # 2016,A.A.Filatenkov      ## 41614030  #dY:3.3%   
         13.75            0       0.0458       0.0025  # 1993,C.Konno+            ## 22637005  #dY:5.5%   
         13.79         0.03       0.0563       0.0024  # 1990,Wang Yongchang+     ## 32576002  #dY:4.3%   
         13.88            0       0.0459    0.0024511  # 2016,A.A.Filatenkov      ## 41614030  #dY:5.3%   
         13.98            0       0.0451       0.0024  # 1993,C.Konno+            ## 22637005  #dY:5.3%   
            14            0        0.047       0.0094  # 1960,B.Czapp+            ## 20088004  #dY:20.0%  
         14.03        0.035       0.0534        0.002  # 1990,Wang Yongchang+     ## 32576002  #dY:3.7%   
         14.05        0.185       0.0391       0.0027  # 1967,A.Paulsen+          ## 20388004  #dY:6.9%   
         14.05            0       0.0457    0.0012705  # 2016,A.A.Filatenkov      ## 41614030  #dY:2.8%   
         14.09         0.12       0.0502       0.0019  # 1990,Lu Hanlin+          ## 31407002  #dY:3.8%   
          14.2            0       0.0261        0.005  # 1972,M.Bormann+          ## 20471002  #dY:19.2%  
         14.22            0       0.0433       0.0024  # 1993,C.Konno+            ## 22637005  #dY:5.5%   
         14.28            0       0.0459    0.0012577  # 2016,A.A.Filatenkov      ## 41614030  #dY:2.7%   
         14.33        0.045       0.0508       0.0019  # 1990,Wang Yongchang+     ## 32576002  #dY:3.7%   
         14.42        0.195       0.0357       0.0025  # 1967,A.Paulsen+          ## 20388004  #dY:7.0%   
         14.42            0       0.0418       0.0023  # 1993,C.Konno+            ## 22637005  #dY:5.5%   
         14.44            0       0.0461    0.0016089  # 2016,A.A.Filatenkov      ## 41614030  #dY:3.5%   
          14.5          0.2       0.0412      0.00412  # 1987,L.R.Greenwood       ## 12977016  #dY:10.0%  
          14.5          0.3        0.051        0.002  # 1991,J.Csikai+           ## 22205002  #dY:3.9%   
          14.5          0.3        0.045        0.002  # 1991,J.Csikai+           ## 22205002  #dY:4.4%   
          14.5            0       0.0438       0.0025  # 1996,Y.Ikeda+            ## 22658004  #dY:5.7%   
         14.58         0.17        0.049       0.0017  # 1990,Lu Hanlin+          ## 31407002  #dY:3.5%   
          14.6          0.1       0.0495         0.01  # 1969,R.C.Barrall+        ## 10022016  #dY:20.2%  
          14.6            0       0.0504       0.0057  # 1979,K.Kayashima+        ## 21300010  #dY:11.3%  
          14.6            0        0.043        0.002  # 1980,U.Garuska+          ## 30553004  #dY:4.7%   
          14.6        0.055       0.0484       0.0017  # 1990,Wang Yongchang+     ## 32576002  #dY:3.5%   
          14.6          0.2       0.0535        0.006  # 1974,G.N.Maslov+         ## 40136013  #dY:11.2%  
          14.6          0.2       0.0535        0.006  # 1974,G.N.Maslov+         ## Y0061013  #dY:11.2%  
         14.63            0       0.0433    0.0014202  # 2016,A.A.Filatenkov      ## 41614030  #dY:3.3%   
         14.65          0.2       0.0404      0.00404  # 1987,L.R.Greenwood       ## 12977016  #dY:10.0%  
         14.66            0       0.0411       0.0022  # 1993,C.Konno+            ## 22637005  #dY:5.4%   
          14.7         0.25       0.0416    0.0022464  # 1996,J.W.Meadows+        ## 13586015  #dY:5.4%   
          14.7          0.6       0.0338       0.0024  # 1967,A.Paulsen           ## 20390010  #dY:7.1%   
          14.7            0       0.0402     0.002211  # 1996,J.W.Meadows+        ## 22657005  #dY:5.5%   
          14.8          0.2       0.0384      0.00384  # 1987,L.R.Greenwood       ## 12977016  #dY:10.0%  
          14.8         0.15       0.0407        0.001  # 1978,G.Winkler           ## 21219002  #dY:2.5%   
          14.8            0       0.0404       0.0023  # 1996,Y.Ikeda+            ## 22658004  #dY:5.7%   
          14.8         0.19       0.0466       0.0017  # 1990,Lu Hanlin+          ## 31407002  #dY:3.6%   
          14.8        0.055       0.0474       0.0017  # 1990,Wang Yongchang+     ## 32576002  #dY:3.6%   
          14.8            0        0.041        0.008  # 1980,O.I.Artem'ev+       ## 41321008  #dY:19.5%  
          14.8            0        0.041        0.008  # 1980,O.I.Artem'ev+       ## Y0077008  #dY:19.5%  
         14.85          0.2       0.0388      0.00388  # 1987,L.R.Greenwood       ## 12977016  #dY:10.0%  
         14.86            0       0.0428     0.001207  # 2016,A.A.Filatenkov      ## 41614030  #dY:2.8%   
          14.9          0.2       0.0401      0.00401  # 1987,L.R.Greenwood       ## 12977016  #dY:10.0%  
         14.91            0       0.0398       0.0022  # 1993,C.Konno+            ## 22637005  #dY:5.5%   
         14.99        0.195       0.0316       0.0022  # 1967,A.Paulsen+          ## 20388004  #dY:7.0%   
         15.37        0.185       0.0302       0.0021  # 1967,A.Paulsen+          ## 20388004  #dY:7.0%   
         15.88         0.18       0.0272       0.0019  # 1967,A.Paulsen+          ## 20388004  #dY:7.0%   
            16            0      0.03212      0.00202  # 2004,V.Semkova+          ## 22745002  #dY:6.3%   
         16.18        0.205       0.0268       0.0019  # 1967,A.Paulsen+          ## 20388004  #dY:7.1%   
         16.28            0      0.03009      0.00202  # 2004,V.Semkova+          ## 22745002  #dY:6.7%   
         16.52         0.23       0.0233       0.0016  # 1967,A.Paulsen+          ## 20388004  #dY:6.9%   
         16.86          0.9       0.0293       0.0014  # 1990,Lu Hanlin+          ## 31407002  #dY:4.8%   
         17.19            0      0.02821      0.00216  # 2004,V.Semkova+          ## 22745002  #dY:7.7%   
         17.27         0.23       0.0191       0.0015  # 1967,A.Paulsen+          ## 20388004  #dY:7.9%   
         17.58            0      0.02186            0  # 2004,V.Semkova+          ## 22745002             
         17.63         0.21       0.0239       0.0012  # 1990,Lu Hanlin+          ## 31407002  #dY:5.0%   
          18.2        0.195       0.0161       0.0013  # 1967,A.Paulsen+          ## 20388004  #dY:8.1%   
          18.2            0      0.01795            0  # 2004,V.Semkova+          ## 22745002             
         18.94        0.145       0.0132       0.0011  # 1967,A.Paulsen+          ## 20388004  #dY:8.3%   
         19.03            0      0.01404            0  # 2004,V.Semkova+          ## 22745002             
         19.55        0.095        0.011       0.0009  # 1967,A.Paulsen+          ## 20388004  #dY:8.2%   
         19.97            0      0.01202            0  # 2004,V.Semkova+          ## 22745002             
//
#-------------------------------------------------------------------------------
#
#name:   29-CU-63(N,EL)29-CU-63,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  8
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0          4.8          0.4  # 1970,V.P.Vertebnyj+      ## 41280005  #dY:8.3%   
           5.5         0.09       2.1253       0.0073  # 1974,W.E.Kinney+         ## 10414004  #dY:0.3%   
             7         0.06       2.2122       0.0073  # 1974,W.E.Kinney+         ## 10414004  #dY:0.3%   
          7.96       0.2125         2.07        0.088  # 1982,S.M.El-Kadi+        ## 10958014  #dY:4.3%   
           8.5         0.05        2.021       0.0073  # 1974,W.E.Kinney+         ## 10414004  #dY:0.4%   
          9.94          0.1        1.885        0.086  # 1982,S.M.El-Kadi+        ## 10958014  #dY:4.6%   
         11.93          0.1        1.515         0.08  # 1982,S.M.El-Kadi+        ## 10958014  #dY:5.3%   
         13.92       0.1075        1.309        0.054  # 1982,S.M.El-Kadi+        ## 10958014  #dY:4.1%   
//
#-------------------------------------------------------------------------------
#
#name:   29-CU-63(N,G)29-CU-64,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  483
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         4.45         0.05  # 1977,G.Gleason           ## 10662002  #dY:1.1%   
       2.53e-8            0         4.03         0.17  # 1967,B.Pinoncelli+       ## 20185002  #dY:4.2%   
       2.53e-8            0          4.4          0.2  # 1974,T.B.Ryves+          ## 20561002  #dY:4.5%   
       2.53e-8            0          4.4       0.0176  # 1970,T.B.Ryves           ## 20789016  #dY:0.4%   
       2.53e-8            0        11.24            0  # 1991,I.Celenk+           ## 22234004             
       2.53e-8            0         4.17            0  # 2013,F.Farina Arbocco+   ## 23266055             
       2.53e-8            0         4.52            0  # 2013,F.Farina Arbocco+   ## 23266055             
       2.53e-8            0         4.28      0.18404  # 1988,F.De Corte+         ## 23488018  #dY:4.3%   
        7.4e-5            0       0.0192       0.0021  # 2017,M.Weigand+          ## 14467002  #dY:10.9%  
       7.57e-5            0       0.0189        0.002  # 2017,M.Weigand+          ## 14467002  #dY:10.6%  
       7.75e-5            0        0.016       0.0019  # 2017,M.Weigand+          ## 14467002  #dY:11.9%  
       7.93e-5            0       0.0179       0.0022  # 2017,M.Weigand+          ## 14467002  #dY:12.3%  
       8.11e-5            0       0.0139       0.0019  # 2017,M.Weigand+          ## 14467002  #dY:13.7%  
        8.3e-5            0       0.0148        0.002  # 2017,M.Weigand+          ## 14467002  #dY:13.5%  
       8.49e-5            0       0.0157       0.0021  # 2017,M.Weigand+          ## 14467002  #dY:13.4%  
       8.69e-5            0       0.0128       0.0018  # 2017,M.Weigand+          ## 14467002  #dY:14.1%  
        8.9e-5            0       0.0114       0.0018  # 2017,M.Weigand+          ## 14467002  #dY:15.8%  
        9.1e-5            0       0.0125       0.0018  # 2017,M.Weigand+          ## 14467002  #dY:14.4%  
       9.31e-5            0       0.0085       0.0017  # 2017,M.Weigand+          ## 14467002  #dY:20.0%  
       9.53e-5            0       0.0092       0.0017  # 2017,M.Weigand+          ## 14467002  #dY:18.5%  
       9.75e-5            0       0.0154        0.002  # 2017,M.Weigand+          ## 14467002  #dY:13.0%  
       9.98e-5            0       0.0161        0.002  # 2017,M.Weigand+          ## 14467002  #dY:12.4%  
     0.0001021            0       0.0156        0.002  # 2017,M.Weigand+          ## 14467002  #dY:12.8%  
     0.0001045            0       0.0132       0.0019  # 2017,M.Weigand+          ## 14467002  #dY:14.4%  
     0.0001069            0       0.0117       0.0018  # 2017,M.Weigand+          ## 14467002  #dY:15.4%  
     0.0001094            0       0.0129       0.0019  # 2017,M.Weigand+          ## 14467002  #dY:14.7%  
      0.000112            0       0.0115       0.0018  # 2017,M.Weigand+          ## 14467002  #dY:15.7%  
     0.0001146            0        0.015        0.002  # 2017,M.Weigand+          ## 14467002  #dY:13.3%  
     0.0001173            0       0.0111       0.0018  # 2017,M.Weigand+          ## 14467002  #dY:16.2%  
       0.00012            0       0.0064       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:23.4%  
     0.0001228            0       0.0071       0.0016  # 2017,M.Weigand+          ## 14467002  #dY:22.5%  
     0.0001256            0       0.0108       0.0017  # 2017,M.Weigand+          ## 14467002  #dY:15.7%  
     0.0001286            0       0.0125       0.0018  # 2017,M.Weigand+          ## 14467002  #dY:14.4%  
     0.0001316            0       0.0083       0.0017  # 2017,M.Weigand+          ## 14467002  #dY:20.5%  
     0.0001346            0       0.0089       0.0016  # 2017,M.Weigand+          ## 14467002  #dY:18.0%  
     0.0001378            0        0.009       0.0016  # 2017,M.Weigand+          ## 14467002  #dY:17.8%  
      0.000141            0       0.0101       0.0017  # 2017,M.Weigand+          ## 14467002  #dY:16.8%  
     0.0001443            0       0.0072       0.0016  # 2017,M.Weigand+          ## 14467002  #dY:22.2%  
     0.0001476            0       0.0057       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:26.3%  
     0.0001511            0       0.0071       0.0014  # 2017,M.Weigand+          ## 14467002  #dY:19.7%  
     0.0001546            0       0.0065       0.0014  # 2017,M.Weigand+          ## 14467002  #dY:21.5%  
     0.0001582            0       0.0087       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:17.2%  
     0.0001619            0       0.0081       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:18.5%  
     0.0001656            0       0.0072       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:20.8%  
     0.0001695            0       0.0074       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:20.3%  
     0.0001734            0       0.0095       0.0016  # 2017,M.Weigand+          ## 14467002  #dY:16.8%  
     0.0001775            0       0.0088       0.0016  # 2017,M.Weigand+          ## 14467002  #dY:18.2%  
     0.0001816            0       0.0123       0.0017  # 2017,M.Weigand+          ## 14467002  #dY:13.8%  
     0.0001858            0       0.0069       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:21.7%  
     0.0001902            0       0.0047       0.0014  # 2017,M.Weigand+          ## 14467002  #dY:29.8%  
     0.0001946            0       0.0041       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:36.6%  
     0.0001991            0       0.0056       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:26.8%  
     0.0002038            0        0.003       0.0014  # 2017,M.Weigand+          ## 14467002  #dY:46.7%  
     0.0002085            0       0.0021       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:71.4%  
     0.0002134            0       0.0072       0.0016  # 2017,M.Weigand+          ## 14467002  #dY:22.2%  
     0.0002183            0       0.0122       0.0018  # 2017,M.Weigand+          ## 14467002  #dY:14.8%  
     0.0002234            0       0.0128       0.0018  # 2017,M.Weigand+          ## 14467002  #dY:14.1%  
     0.0002286            0       0.0305       0.0031  # 2017,M.Weigand+          ## 14467002  #dY:10.2%  
      0.000234            0       0.0068       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:22.1%  
     0.0002394            0       0.0065       0.0014  # 2017,M.Weigand+          ## 14467002  #dY:21.5%  
      0.000245            0       0.0037       0.0014  # 2017,M.Weigand+          ## 14467002  #dY:37.8%  
     0.0002507            0       0.0067       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:22.4%  
     0.0002565            0       0.0084       0.0017  # 2017,M.Weigand+          ## 14467002  #dY:20.2%  
     0.0002625            0       0.0094       0.0016  # 2017,M.Weigand+          ## 14467002  #dY:17.0%  
     0.0002686            0       0.0057       0.0014  # 2017,M.Weigand+          ## 14467002  #dY:24.6%  
     0.0002749            0       0.0046       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:32.6%  
     0.0002813            0       0.0061       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:24.6%  
     0.0002878            0       0.0048       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:31.2%  
     0.0002945            0        0.007       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:21.4%  
     0.0003014            0       0.0056       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:26.8%  
     0.0003084            0       0.0035       0.0015  # 2017,M.Weigand+          ## 14467002  #dY:42.9%  
     0.0003156            0        0.007       0.0016  # 2017,M.Weigand+          ## 14467002  #dY:22.9%  
      0.000323            0       0.0021       0.0019  # 2017,M.Weigand+          ## 14467002  #dY:90.5%  
     0.0003305            0       0.0014       0.0022  # 2017,M.Weigand+          ## 14467002  #dY:157.1% 
     0.0003382            0       0.0093       0.0024  # 2017,M.Weigand+          ## 14467002  #dY:25.8%  
     0.0003461            0       0.0085       0.0018  # 2017,M.Weigand+          ## 14467002  #dY:21.2%  
     0.0003541            0       0.0048       0.0017  # 2017,M.Weigand+          ## 14467002  #dY:35.4%  
     0.0003624            0       0.0067       0.0016  # 2017,M.Weigand+          ## 14467002  #dY:23.9%  
     0.0003708            0       0.0075       0.0017  # 2017,M.Weigand+          ## 14467002  #dY:22.7%  
     0.0003794            0       0.0171       0.0021  # 2017,M.Weigand+          ## 14467002  #dY:12.3%  
     0.0003883            0       0.0451       0.0044  # 2017,M.Weigand+          ## 14467002  #dY:9.8%   
     0.0003973            0        0.231       0.0214  # 2017,M.Weigand+          ## 14467002  #dY:9.3%   
     0.0004066            0        0.018       0.0023  # 2017,M.Weigand+          ## 14467002  #dY:12.8%  
     0.0004161            0       0.0182       0.0022  # 2017,M.Weigand+          ## 14467002  #dY:12.1%  
     0.0004257            0       0.0162       0.0021  # 2017,M.Weigand+          ## 14467002  #dY:13.0%  
     0.0004357            0       0.0196       0.0023  # 2017,M.Weigand+          ## 14467002  #dY:11.7%  
     0.0004458            0       0.0268       0.0029  # 2017,M.Weigand+          ## 14467002  #dY:10.8%  
     0.0004562            0       0.0204       0.0023  # 2017,M.Weigand+          ## 14467002  #dY:11.3%  
     0.0004668            0       0.0301       0.0031  # 2017,M.Weigand+          ## 14467002  #dY:10.3%  
     0.0004777            0       0.0334       0.0035  # 2017,M.Weigand+          ## 14467002  #dY:10.5%  
     0.0004888            0       0.0491       0.0048  # 2017,M.Weigand+          ## 14467002  #dY:9.8%   
     0.0005002            0       0.0754       0.0072  # 2017,M.Weigand+          ## 14467002  #dY:9.5%   
     0.0005119            0       0.1143       0.0108  # 2017,M.Weigand+          ## 14467002  #dY:9.4%   
     0.0005238            0       0.2127       0.0202  # 2017,M.Weigand+          ## 14467002  #dY:9.5%   
      0.000536            0       0.5438       0.0508  # 2017,M.Weigand+          ## 14467002  #dY:9.3%   
     0.0005485            0       2.5426       0.2379  # 2017,M.Weigand+          ## 14467002  #dY:9.4%   
     0.0005612            0        15.52       1.4609  # 2017,M.Weigand+          ## 14467002  #dY:9.4%   
     0.0005743            0       29.666       2.7673  # 2017,M.Weigand+          ## 14467002  #dY:9.3%   
     0.0005877            0       1.4032        0.132  # 2017,M.Weigand+          ## 14467002  #dY:9.4%   
     0.0006014            0        0.493       0.0465  # 2017,M.Weigand+          ## 14467002  #dY:9.4%   
     0.0006154            0       0.2402       0.0227  # 2017,M.Weigand+          ## 14467002  #dY:9.5%   
     0.0006297            0       0.4706       0.0442  # 2017,M.Weigand+          ## 14467002  #dY:9.4%   
     0.0006444            0       1.8284       0.1727  # 2017,M.Weigand+          ## 14467002  #dY:9.4%   
     0.0006594            0       0.0836       0.0081  # 2017,M.Weigand+          ## 14467002  #dY:9.7%   
     0.0006748            0       0.0632       0.0062  # 2017,M.Weigand+          ## 14467002  #dY:9.8%   
     0.0006905            0       0.0522       0.0052  # 2017,M.Weigand+          ## 14467002  #dY:10.0%  
     0.0007066            0       0.0441       0.0045  # 2017,M.Weigand+          ## 14467002  #dY:10.2%  
      0.000723            0       0.0426       0.0044  # 2017,M.Weigand+          ## 14467002  #dY:10.3%  
     0.0007399            0         0.04       0.0041  # 2017,M.Weigand+          ## 14467002  #dY:10.3%  
     0.0007571            0       0.0396       0.0042  # 2017,M.Weigand+          ## 14467002  #dY:10.6%  
     0.0007747            0       0.0845       0.0082  # 2017,M.Weigand+          ## 14467002  #dY:9.7%   
     0.0007928            0       0.6992       0.0678  # 2017,M.Weigand+          ## 14467002  #dY:9.7%   
     0.0008112            0       0.0366       0.0038  # 2017,M.Weigand+          ## 14467002  #dY:10.4%  
     0.0008301            0       0.0188       0.0024  # 2017,M.Weigand+          ## 14467002  #dY:12.8%  
     0.0008495            0       0.0184       0.0022  # 2017,M.Weigand+          ## 14467002  #dY:12.0%  
     0.0008693            0       0.0157        0.002  # 2017,M.Weigand+          ## 14467002  #dY:12.7%  
     0.0008895            0       0.0154       0.0021  # 2017,M.Weigand+          ## 14467002  #dY:13.6%  
     0.0009102            0       0.0207       0.0024  # 2017,M.Weigand+          ## 14467002  #dY:11.6%  
     0.0009314            0       0.0345       0.0037  # 2017,M.Weigand+          ## 14467002  #dY:10.7%  
     0.0009531            0       0.1324       0.0131  # 2017,M.Weigand+          ## 14467002  #dY:9.9%   
     0.0009753            0       1.2086       0.1185  # 2017,M.Weigand+          ## 14467002  #dY:9.8%   
     0.0009981            0       0.0985       0.0096  # 2017,M.Weigand+          ## 14467002  #dY:9.7%   
     0.0010213            0       0.0229       0.0026  # 2017,M.Weigand+          ## 14467002  #dY:11.4%  
