#ZVView-data-copy:  27-May-2023 01:11:30
#=======================================
#
#name:   64-GD-158(N,G)64-GD-159,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  190
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         0.046        0.002        0.264        0.014  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.3%   
         0.046        0.002        0.264        0.014  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.3%   
          0.05        0.002        0.302        0.025  # 1977,V.N.Kononov+        ## 40520022  #dY:8.3%   
          0.05        0.002        0.254        0.014  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.5%   
          0.05        0.002        0.254        0.014  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.5%   
         0.054        0.002        0.307        0.025  # 1977,V.N.Kononov+        ## 40520022  #dY:8.1%   
         0.054        0.002        0.232        0.013  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.6%   
         0.054        0.002        0.232        0.013  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.6%   
         0.055        0.004      0.19942       0.0115  # 2004,Vuong Huu Tan+      ## 31542003  #dY:5.8%   
         0.058        0.002        0.298        0.025  # 1977,V.N.Kononov+        ## 40520022  #dY:8.4%   
         0.058        0.002         0.24        0.013  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.4%   
         0.058        0.002         0.24        0.013  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.4%   
         0.062        0.002         0.24        0.013  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.4%   
         0.062        0.002         0.24        0.013  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.4%   
        0.0625       0.0025        0.286        0.024  # 1977,V.N.Kononov+        ## 40520022  #dY:8.4%   
         0.066        0.002        0.236        0.013  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.5%   
         0.066        0.002        0.236        0.013  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.5%   
        0.0675       0.0025        0.269        0.022  # 1977,V.N.Kononov+        ## 40520022  #dY:8.2%   
          0.07        0.002        0.217        0.012  # 1991,M.V.Bokhovko+       ## 41225003  #dY:5.5%   
          0.07        0.002        0.217        0.012  # 1993,M.V.Bokhovko+       ## Y0075003  #dY:5.5%   
        0.0725       0.0025         0.26        0.021  # 1977,V.N.Kononov+        ## 40520022  #dY:8.1%   
