#ZVView-data-copy:  30-May-2023 21:14:52
#=======================================
#
#name:   56-BA-135(N,P)55-CS-135-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  8
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         13.34            0      0.00024       3.2e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:13.3%  
         13.57            0     0.000216       2.8e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:13.0%  
         13.76            0     0.000253       4.1e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:16.2%  
         13.99            0     0.000297       3.2e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:10.8%  
         14.23            0     0.000262         4e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:15.3%  
         14.44            0     0.000293       3.3e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:11.3%  
         14.68            0     0.000307       3.2e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:10.4%  
         14.95            0      0.00036       3.4e-5  # 1988,Y.Ikeda+            ## 22089099  #dY:9.4%   
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-135(N,INL)56-BA-135-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  3
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           2.2            0         0.58        0.039  # 1990,Y.Ikeda+            ## 22191009  #dY:6.7%   
           2.8          0.2         0.32        0.022  # 1968,P.Bornemisza-Paus   ## 30338005  #dY:6.9%   
          3.01            0        0.784        0.053  # 1990,Y.Ikeda+            ## 22191009  #dY:6.8%   
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-135(N,G)56-BA-136,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  30
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        0.0035       0.0005        1.072        0.157  # 1974,A.R.De+             ## 30293004  #dY:14.6%  
        0.0045       0.0005         1.18        0.177  # 1974,A.R.De+             ## 30293004  #dY:15.0%  
        0.0055       0.0005        1.131        0.167  # 1974,A.R.De+             ## 30293004  #dY:14.8%  
         0.007        0.001        0.944        0.138  # 1974,A.R.De+             ## 30293004  #dY:14.6%  
         0.009        0.001          0.9        0.138  # 1974,A.R.De+             ## 30293004  #dY:15.3%  
       0.01125      0.00125       0.7321            0  # 1994,F.Voss+             ## 22307017             
        0.0125       0.0025        0.649        0.092  # 1974,A.R.De+             ## 30293004  #dY:14.2%  
       0.01375      0.00125       0.6785            0  # 1994,F.Voss+             ## 22307017             
        0.0175       0.0025        0.606            0  # 1994,F.Voss+             ## 22307017             
        0.0175       0.0025         0.61        0.088  # 1974,A.R.De+             ## 30293004  #dY:14.4%  
        0.0225       0.0025       0.5712            0  # 1994,F.Voss+             ## 22307017             
         0.025        0.005        0.531        0.079  # 1974,A.R.De+             ## 30293004  #dY:14.9%  
        0.0275       0.0025       0.5004            0  # 1994,F.Voss+             ## 22307017             
         0.035        0.005       0.4286            0  # 1994,F.Voss+             ## 22307017             
         0.035        0.005        0.442        0.079  # 1974,A.R.De+             ## 30293004  #dY:17.9%  
         0.045        0.005       0.3816            0  # 1994,F.Voss+             ## 22307017             
         0.045        0.005        0.393        0.069  # 1974,A.R.De+             ## 30293004  #dY:17.6%  
         0.055        0.005       0.3267            0  # 1994,F.Voss+             ## 22307017             
         0.055        0.005        0.344        0.059  # 1974,A.R.De+             ## 30293004  #dY:17.2%  
          0.07         0.01       0.2723            0  # 1994,F.Voss+             ## 22307017             
          0.07         0.01        0.295        0.049  # 1974,A.R.De+             ## 30293004  #dY:16.6%  
          0.09         0.01       0.2302            0  # 1994,F.Voss+             ## 22307017             
          0.09         0.01        0.265        0.039  # 1974,A.R.De+             ## 30293004  #dY:14.7%  
          0.11         0.01       0.2127            0  # 1994,F.Voss+             ## 22307017             
         0.125        0.025        0.226        0.039  # 1974,A.R.De+             ## 30293004  #dY:17.3%  
         0.135        0.015       0.1928            0  # 1994,F.Voss+             ## 22307017             
        0.1625       0.0125       0.1809            0  # 1994,F.Voss+             ## 22307017             
         0.175        0.025        0.206        0.039  # 1974,A.R.De+             ## 30293004  #dY:18.9%  
        0.1875       0.0125       0.1706            0  # 1994,F.Voss+             ## 22307017             
        0.2125       0.0125       0.1652            0  # 1994,F.Voss+             ## 22307017             
//
#-------------------------------------------------------------------------------
#
#name:   JEFF-3.3: BA-135(N,EL)BA-135-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  21003
#data...
#            X            Y
#          MeV        barns
    2.39507e-5      219.085 
     2.3958e-5      236.859 
    2.39665e-5      259.528 
    2.39725e-5      277.064 
    2.39786e-5      295.769 
    2.39846e-5       315.68 
    2.39937e-5      347.881 
    2.40028e-5      382.951 
    2.40118e-5      420.929 
    2.40209e-5      461.801 
      2.403e-5      505.494 
    2.40391e-5      551.866 
    2.40512e-5      617.481 
    2.40663e-5      704.512 
    2.41056e-5      941.363 
    2.41177e-5      1011.42 
    2.41298e-5      1077.09 
    2.41419e-5      1136.53 
     2.4154e-5         1188 
    2.41637e-5      1222.37 
    2.41734e-5      1249.93 
    2.41825e-5      1269.08 
    2.41915e-5       1281.4 
    2.42025e-5      1286.89 
    2.42121e-5      1283.16 
    2.42212e-5       1272.4 
    2.42327e-5      1249.06 
    2.42442e-5      1215.57 
    2.42532e-5      1182.63 
    2.42653e-5      1130.92 
    2.42774e-5      1071.82 
    2.42895e-5      1007.09 
    2.43077e-5      903.341 
    2.43379e-5      726.611 
    2.43531e-5      642.233 
    2.43652e-5      578.532 
    2.43742e-5      533.445 
    2.43833e-5      490.895 
    2.43924e-5      451.015 
    2.44015e-5      413.873 
    2.44105e-5      379.483 
    2.44196e-5      347.808 
    2.44287e-5      318.774 
     2.4437e-5      294.389 
    2.44438e-5      275.951 
    2.44506e-5       258.81 
    2.44574e-5      242.901 
    2.44642e-5      228.157 
     2.4471e-5      214.509 
    2.44795e-5      198.949 
     2.4488e-5      184.847 
    2.44965e-5      172.076 
    2.45049e-5      160.512 
    2.45134e-5       150.04 
    2.45219e-5      140.553 
    2.45303e-5      131.952 
    2.45388e-5      124.143 
    2.45479e-5      116.563 
    2.45569e-5      109.706 
     2.4566e-5       103.49 
    2.45751e-5      97.8413 
    2.45842e-5      92.6954 
    2.45932e-5      87.9956 
    2.46053e-5      82.3373 
    2.46175e-5      77.2819 
    2.46296e-5      72.7443 
    2.46432e-5        68.17 
    2.46507e-5      65.8415 
    2.46658e-5      61.5812 
     2.4681e-5      57.7817 
    2.46961e-5      54.3749 
    2.47112e-5       51.305 
    2.47264e-5      48.5262 
    2.47415e-5      46.0007 
    2.47566e-5      43.6968 
    2.47748e-5      41.1873 
    2.47929e-5      38.9203 
    2.48111e-5      36.8638 
    2.48292e-5      34.9913 
    2.48474e-5      33.2804 
    2.48655e-5      31.7122 
    2.48927e-5      29.5925 
    2.49165e-5      27.9359 
    2.49313e-5      26.9913 
    2.49608e-5      25.2649 
    2.49903e-5      23.7278 
    2.50198e-5      22.3523 
    2.50493e-5      21.1156 
    2.50788e-5      19.9989 
    2.51083e-5      18.9865 
    2.51378e-5      18.0653 
    2.51756e-5      17.0002 
    2.52134e-5      16.0475 
    2.52512e-5      15.1913 
     2.5289e-5      14.4186 
    2.53268e-5      13.7184 
    2.53646e-5      13.0815 
    2.54024e-5      12.5003 
    2.54592e-5      11.7186 
    2.55159e-5      11.0293 
    2.55726e-5      10.4177 
    2.56293e-5      9.87215 
     2.5686e-5      9.38301 
    2.57428e-5      8.94252 
    2.58108e-5      8.46884 
    2.58789e-5      8.04654 
     2.5947e-5      7.66786 
    2.60151e-5       7.3266 
    2.61059e-5      6.92134 
     2.6198e-5      6.55956 
    2.62901e-5      6.23933 
    2.63822e-5      5.95418 
    2.64742e-5      5.69887 
    2.65676e-5      5.46605 
    2.67077e-5       5.1583 
    2.68477e-5       4.8918 
    2.69898e-5      4.65596 
    2.71318e-5      4.44873 
    2.72745e-5      4.26456 
    2.74186e-5      4.09934 
    2.76106e-5      3.90583 
    2.78054e-5      3.73485 
    2.80002e-5      3.58502 
    2.81977e-5      3.45096 
    2.84954e-5      3.27655 
    2.87958e-5      3.12738 
    2.91005e-5      2.99775 
    2.94081e-5      2.88452 
    2.96141e-5      2.81685 
    3.00319e-5      2.69601 
    3.04556e-5      2.59162 
    3.08852e-5      2.50037 
     3.1321e-5      2.41992 
    3.19869e-5      2.31474 
    3.26654e-5      2.22482 
    3.33599e-5      2.14605 
    3.43079e-5      2.05484 
    3.52827e-5      1.97547 
    3.65395e-5      1.88848 
    3.78428e-5      1.81133 
    3.94672e-5      1.72752 
    4.14497e-5      1.63786 
     4.4148e-5      1.52924 
    4.86969e-5      1.36239 
    5.48538e-5      1.14063 
     5.8834e-5     0.989965 
    6.39932e-5     0.788423 
    6.53539e-5      0.73852 
    6.62759e-5      0.70761 
    6.72109e-5       0.6801 
    6.79204e-5     0.663182 
    6.86366e-5     0.650915 
    6.90609e-5     0.646626 
    6.94852e-5     0.645085 
    6.99754e-5     0.647595 
     7.0343e-5     0.653045 
    7.07141e-5     0.662299 
    7.10869e-5     0.676099 
    7.14597e-5      0.69527 
    7.17117e-5     0.711792 
    7.19638e-5     0.731622 
    7.22158e-5     0.755195 
    7.24679e-5     0.783015 
    7.27235e-5     0.816148 
    7.29791e-5       0.8548 
    7.31708e-5     0.887916 
    7.33625e-5      0.92518 
    7.35551e-5     0.967196 
    7.37495e-5      1.01473 
    7.39439e-5      1.06801 
    7.41383e-5      1.12772 
    7.43327e-5      1.19465 
    7.45271e-5       1.2697 
    7.47242e-5      1.35516 
    7.49214e-5       1.4513 
    7.51185e-5      1.55955 
    7.52499e-5      1.63929 
    7.53814e-5      1.72574 
    7.55128e-5      1.81955 
    7.56923e-5      1.96083 
    7.58629e-5      2.11101 
    7.60335e-5      2.27878 
    7.61473e-5      2.40159 
     7.6261e-5      2.53412 
    7.63748e-5      2.67729 
    7.64885e-5      2.83214 
    7.66331e-5      3.04762 
    7.67776e-5      3.28653 
    7.69222e-5      3.55204 
    7.70667e-5      3.84777 
    7.71631e-5      4.06375 
    7.72595e-5      4.29639 
     7.7392e-5      4.64653 
    7.75245e-5       5.0365 
    7.76129e-5      5.32159 
    7.77012e-5      5.62907 
    7.77896e-5      5.96111 
    7.78779e-5      6.32019 
    7.79662e-5       6.7091 
    7.80747e-5      7.23191 
    7.81831e-5      7.81134 
    7.82915e-5      8.45544 
    7.83638e-5      8.92538 
    7.84361e-5      9.43151 
    7.85084e-5      9.97746 
    7.85766e-5      10.5334 
     7.8673e-5      11.3926 
    7.87694e-5      12.3506 
    7.88336e-5      13.0516 
    7.88979e-5      13.8084 
    7.89621e-5       14.627 
    7.90264e-5      15.5141 
    7.90866e-5      16.4147 
    7.91428e-5       17.322 
     7.9199e-5      18.3004 
    7.92553e-5      19.3574 
    7.93115e-5      20.5015 
    7.93677e-5      21.7422 
    7.94239e-5      23.0906 
    7.94801e-5      24.5593 
    7.95299e-5      25.9722 
     7.9595e-5      27.9971 
      7.966e-5      30.2531 
    7.97034e-5      31.9031 
    7.97468e-5      33.6844 
    7.97901e-5      35.6112 
    7.98335e-5      37.6995 
    7.98745e-5      39.8367 
     7.9913e-5      42.0108 
    7.99516e-5      44.3597 
    7.99901e-5      46.9027 
    8.00287e-5      49.6619 
    8.00672e-5      52.6628 
    8.01058e-5      55.9348 
    8.01443e-5      59.5118 
    8.01797e-5      63.0923 
    8.02118e-5      66.6283 
    8.02439e-5      70.4633 
     8.0276e-5      74.6326 
    8.03082e-5      79.1767 
    8.03403e-5      84.1426 
    8.03724e-5      89.5855 
    8.04045e-5      95.5696 
    8.04334e-5      101.481 
    8.04592e-5      107.207 
    8.04848e-5      113.434 
    8.05106e-5      120.222 
    8.05363e-5      127.644 
    8.05619e-5      135.784 
    8.05876e-5      144.743 
    8.06133e-5      154.639 
    8.06374e-5      164.893 
    8.06599e-5      175.441 
    8.06824e-5      187.069 
    8.07049e-5      199.936 
    8.07274e-5      214.229 
    8.07499e-5      230.172 
    8.07667e-5      243.368 
    8.07836e-5       257.77 
    8.08005e-5      273.523 
    8.08209e-5      294.625 
    8.08357e-5      311.489 
    8.08504e-5      329.843 
    8.08652e-5      349.847 
      8.088e-5      371.678 
    8.08948e-5      395.531 
    8.09095e-5      421.618 
    8.09243e-5      450.171 
    8.09388e-5      480.726 
    8.09532e-5      514.125 
    8.09677e-5      550.632 
    8.09822e-5       590.52 
    8.09966e-5      634.076 
    8.10078e-5      670.676 
    8.10207e-5      715.616 
    8.10335e-5      764.071 
    8.10464e-5      816.244 
    8.10592e-5      872.329 
    8.10721e-5      932.507 
    8.10849e-5      996.943 
    8.10978e-5      1065.78 
    8.11106e-5      1139.13 
    8.11299e-5      1257.79 
    8.11492e-5      1386.88 
    8.11685e-5      1526.27 
    8.11877e-5      1675.51 
     8.1207e-5      1833.86 
    8.12327e-5      2057.17 
    8.12713e-5      2410.31 
    8.13227e-5      2886.72 
    8.13484e-5      3112.25 
    8.13741e-5      3319.37 
    8.13934e-5      3458.09 
    8.14126e-5       3579.2 
    8.14306e-5      3673.95 
    8.14486e-5      3749.07 
    8.14679e-5      3806.04 
     8.1486e-5      3836.22 
    8.15003e-5      3843.58 
     8.1518e-5      3832.46 
    8.15373e-5      3795.18 
    8.15565e-5      3732.57 
    8.15771e-5       3639.6 
    8.15977e-5      3522.07 
    8.16169e-5      3392.32 
    8.16362e-5      3246.57 
    8.16619e-5      3032.72 
    8.17005e-5      2685.47 
    8.17583e-5      2152.33 
     8.1784e-5      1925.99 
    8.18097e-5      1712.45 
     8.1829e-5      1562.48 
    8.18482e-5      1422.15 
    8.18675e-5      1291.94 
    8.18868e-5      1172.04 
    8.18996e-5      1097.81 
    8.19125e-5      1028.07 
    8.19253e-5      962.702 
    8.19382e-5      901.585 
     8.1951e-5      844.558 
    8.19639e-5      791.446 
    8.19767e-5      742.063 
    8.19896e-5      696.212 
    8.20024e-5      653.691 
    8.20191e-5      603.057 
    8.20346e-5      560.625 
      8.205e-5      521.978 
    8.20654e-5       486.79 
    8.20808e-5      454.751 
    8.20959e-5      426.149 
    8.21104e-5      401.094 
    8.21248e-5      378.109 
    8.21393e-5      357.002 
    8.21489e-5      343.887 
    8.21682e-5      319.733 
    8.21875e-5      298.062 
    8.22068e-5      278.564 
     8.2226e-5       260.97 
    8.22453e-5      245.046 
    8.22678e-5      228.311 
    8.22903e-5      213.298 
    8.23128e-5      199.776 
    8.23353e-5       187.55 
    8.23577e-5      176.452 
    8.23802e-5      166.345 
    8.24027e-5      157.108 
    8.24252e-5       148.64 
    8.24541e-5      138.746 
     8.2483e-5      129.825 
    8.25119e-5       121.75 
    8.25408e-5      114.413 
    8.25698e-5      107.723 
    8.25987e-5      101.604 
    8.26276e-5      95.9898 
    8.26565e-5      90.8254 
    8.26886e-5       85.556 
    8.27207e-5      80.7251 
    8.27529e-5      76.2841 
     8.2785e-5      72.1909 
    8.28171e-5       68.409 
    8.28653e-5      63.2516 
    8.29135e-5      58.6334 
    8.29504e-5      55.4106 
    8.29874e-5       52.432 
    8.30243e-5      49.6725 
    8.30798e-5      45.8976 
    8.31352e-5      42.5052 
    8.31906e-5      39.4437 
    8.32307e-5      37.4071 
    8.32741e-5      35.3609 
    8.33392e-5      32.5571 
    8.34042e-5      30.0322 
    8.34693e-5      27.7486 
    8.35343e-5      25.6747 
    8.36042e-5      23.6508 
    8.36765e-5      21.7504 
    8.37487e-5      20.0215 
     8.3821e-5      18.4423 
    8.38933e-5      16.9946 
    8.39656e-5      15.6627 
    8.40379e-5      14.4333 
    8.41102e-5      13.2948 
    8.41824e-5      12.2374 
    8.42547e-5      11.2525 
     8.4327e-5      10.3327 
    8.44073e-5       9.3791 
    8.44876e-5      8.49032 
    8.45679e-5      7.65985 
    8.46482e-5      6.88223 
    8.47272e-5      6.16502 
