#ZVView-data-copy:  30-May-2023 22:21:15
#=======================================
#
#name:   47-AG-107(N,G)47-AG-108-G,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  4
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         33.1        1.655  # 1988,F.De Corte+         ## 23488044  #dY:5.0%   
         0.024            0          1.1        0.187  # 1951,V.Hummel+           ## 11010011  #dY:17.0%  
         0.024            0         0.93         0.18  # 1957,R.L.Macklin+        ## 11399029  #dY:19.4%  
         0.024            0         0.84         0.09  # 1965,A.K.Chaubey+        ## 30063003  #dY:10.7%  
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-107(N,G)47-AG-108,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  83
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
   0.000846917     0.394993 
   0.000846945     0.418225 
   0.000846972     0.443811 
      0.000847     0.471956 
   0.000847027     0.502872 
   0.000847055     0.536791 
   0.000847083     0.573955 
    0.00084711     0.614622 
   0.000847138      0.65906 
   0.000847165     0.707558 
   0.000847193     0.760408 
    0.00084722     0.817922 
   0.000847248     0.880416 
   0.000847275     0.948226 
   0.000847303      1.02168 
    0.00084733      1.10114 
   0.000847358      1.18694 
   0.000847389      1.29151 
    0.00084742      1.40505 
   0.000847451       1.5281 
   0.000847482      1.66113 
   0.000847513      1.80463 
   0.000847544      1.95906 
   0.000847575      2.12486 
   0.000847606      2.30243 
   0.000847637      2.49214 
   0.000847668      2.69429 
   0.000847704      2.95035 
   0.000847737       3.1893 
   0.000847769      3.44227 
   0.000847817      3.84806 
   0.000847865      4.28513 
   0.000847913      4.75254 
   0.000847969      5.33163 
   0.000848017      5.85331 
   0.000848089      6.67724 
   0.000848191      7.92279 
   0.000848342      9.78011 
   0.000848426      10.7747 
   0.000848503      11.6116 
   0.000848565      12.2119 
   0.000848617      12.6539 
   0.000848674      13.0742 
   0.000848724      13.3717 
   0.000848768      13.5766 
   0.000848821      13.7472 
   0.000848878       13.836 
   0.000848899      13.8431 
   0.000848944      13.8119 
   0.000848994      13.7041 
   0.000849047      13.5081 
   0.000849088      13.2997 
   0.000849141      12.9641 
   0.000849203      12.4843 
   0.000849262      11.9422 
   0.000849333      11.2078 
   0.000849414      10.2897 
    0.00084952      8.99642 
   0.000849672      7.12967 
   0.000849741      6.31478 
    0.00084981      5.54038 
   0.000849863      4.97582 
   0.000849908      4.52065 
   0.000849954      4.09173 
   0.000849999      3.69011 
   0.000850045      3.31638 
   0.000850075       3.0828 
   0.000850112      2.81629 
   0.000850148      2.56776 
   0.000850185      2.33684 
   0.000850222      2.12304 
   0.000850249      1.97356 
   0.000850277      1.83311 
   0.000850304      1.70137 
   0.000850332      1.57805 
    0.00085036      1.46278 
   0.000850392      1.33805 
   0.000850426      1.21545 
   0.000850449      1.13972 
   0.000850472      1.06857 
   0.000850495      1.00177 
   0.000850518     0.939144 
   0.000850541     0.880474 
   0.000850564     0.825565 
   0.000850587     0.774225 
    0.00085061     0.726264 
   0.000850633     0.681499 
   0.000850656      0.63975 
   0.000850678     0.600844 
   0.000850701     0.564614 
   0.000850724     0.530898 
   0.000850752      0.49354 
   0.000850776     0.463437 
     0.0008508      0.43558 
   0.000850824      0.40981 
   0.000850848     0.385984 
   0.000850872     0.363962 
   0.000850896     0.343614 
   0.000850929     0.318873 
   0.000850961     0.296615 
   0.000850993     0.276593 
   0.000851025     0.258576 
   0.000851057     0.242357 
   0.000851089     0.227746 
   0.000851121     0.214573 
   0.000851154     0.202682 
   0.000851186     0.191935 
   0.000851218     0.182206 
    0.00085125     0.173384 
   0.000851291     0.163212 
   0.000851332     0.154186 
   0.000851374     0.146147 
   0.000851415     0.138955 
   0.000851456     0.132493 
   0.000851498      0.12666 
    0.00085156     0.118909 
   0.000851622     0.112148 
   0.000851684     0.106192 
   0.000851746     0.100897 
   0.000851807     0.096149 
   0.000851869    0.0918598 
   0.000851941    0.0874103 
    0.00085203    0.0824134 
    0.00085212    0.0779708 
   0.000852209     0.073989 
   0.000852299    0.0703964 
   0.000852388    0.0671374 
   0.000852507    0.0632353 
   0.000852627    0.0597643 
   0.000852746    0.0566592 
   0.000852865    0.0538677 
   0.000853003     0.050981 
   0.000853141    0.0484021 
   0.000853278    0.0460876 
   0.000853416     0.044002 
     0.0008536    0.0415272 
   0.000853783    0.0393503 
   0.000853967     0.037426 
    0.00085415    0.0357173 
   0.000854334    0.0341941 
   0.000854541    0.0326715 
   0.000854747    0.0313233 
   0.000855022    0.0297561 
   0.000855298    0.0284107 
   0.000855573    0.0272513 
   0.000855849    0.0262492 
   0.000856124    0.0253818 
   0.000856399     0.024631 
   0.000856721    0.0238828 
   0.000857088    0.0231733 
   0.000857455    0.0225976 
   0.000857822    0.0221383 
   0.000858189    0.0217817 
    0.00085874    0.0214166 
   0.000859291    0.0212334 
   0.000859621    0.0212038 
   0.000860134    0.0212715 
   0.000860648    0.0214746 
   0.000861161    0.0218142 
   0.000861674    0.0222961 
   0.000862188    0.0229316 
   0.000862547    0.0234769 
   0.000862923    0.0241468 
     0.0008633    0.0249291 
   0.000863676    0.0258385 
   0.000864053    0.0268936 
    0.00086443     0.028118 
   0.000864806    0.0295413 
   0.000865088    0.0307617 
   0.000865371    0.0321348 
   0.000865616    0.0334668 
    0.00086586    0.0349504 
   0.000866105    0.0366089 
    0.00086635    0.0384705 
   0.000866594    0.0405697 
   0.000866839    0.0429492 
   0.000867023    0.0449491 
   0.000867206    0.0471632 
   0.000867413     0.049959 
   0.000867583    0.0525193 
   0.000867752    0.0553655 
   0.000867922    0.0585433 
   0.000868091    0.0621088 
   0.000868261    0.0661311 
   0.000868388    0.0694985 
   0.000868515    0.0732154 
   0.000868642    0.0773352 
   0.000868741    0.0808593 
   0.000868854    0.0852806 
   0.000868967    0.0901856 
    0.00086908    0.0956561 
   0.000869193     0.101795 
   0.000869277     0.106918 
   0.000869362     0.112562 
   0.000869447     0.118822 
   0.000869531     0.125814 
   0.000869609        0.133 
   0.000869673     0.139546 
   0.000869736     0.146811 
     0.0008698      0.15494 
   0.000869863     0.164117 
   0.000869927     0.174577 
   0.000869969      0.18241 
   0.000870011     0.191056 
   0.000870054     0.200644 
   0.000870096     0.211327 
   0.000870138     0.223284 
   0.000870181     0.236724 
   0.000870223     0.251892 
   0.000870255     0.264571 
   0.000870296     0.282917 
   0.000870327     0.298125 
   0.000870357     0.314852 
   0.000870388     0.333269 
   0.000870419     0.353569 
   0.000870449      0.37596 
    0.00087048     0.400673 
    0.00087051     0.427958 
   0.000870541     0.458091 
   0.000870571     0.491368 
   0.000870602     0.528115 
   0.000870633     0.568679 
   0.000870663      0.61344 
   0.000870694     0.662799 
   0.000870724      0.71719 
   0.000870755     0.777073 
   0.000870779     0.827183 
   0.000870802     0.881065 
   0.000870826     0.938964 
   0.000870849      1.00113 
   0.000870873      1.06783 
   0.000870896      1.13933 
    0.00087092      1.21591 
   0.000870943      1.29785 
   0.000870967      1.38545 
    0.00087099      1.47901 
   0.000871014      1.57882 
   0.000871037      1.68518 
   0.000871061      1.79843 
   0.000871096      1.98184 
   0.000871132      2.18242 
    0.00087116      2.35595 
   0.000871188      2.54162 
   0.000871216      2.73994 
   0.000871245      2.95136 
   0.000871282      3.25437 
    0.00087132       3.5824 
   0.000871358       3.9362 
   0.000871395      4.31641 
   0.000871433      4.72345 
   0.000871477      5.23067 
    0.00087152      5.77431 
   0.000871564       6.3538 
   0.000871608      6.96795 
   0.000871666      7.83762 
   0.000871734      8.91296 
   0.000871802      10.0462 
   0.000871941      12.4829 
   0.000872058      14.5201 
   0.000872143      15.9301 
    0.00087222      17.0734 
   0.000872279      17.8639 
   0.000872329      18.4482 
   0.000872386      19.0149 
   0.000872434      19.3981 
   0.000872489      19.7185 
   0.000872549        19.93 
     0.0008726      19.9863 
   0.000872648      19.9348 
   0.000872702      19.7566 
   0.000872763      19.4137 
   0.000872811      19.0348 
   0.000872865      18.5054 
   0.000872917      17.9043 
   0.000872978      17.0958 
   0.000873048      16.0534 
   0.000873127      14.7659 
   0.000873229       13.007 
   0.000873376        10.43 
   0.000873464      8.94258 
   0.000873528      7.93302 
   0.000873578      7.16913 
   0.000873633      6.39714 
   0.000873682      5.74459 
   0.000873732      5.13772 
   0.000873765      4.75893 
   0.000873798      4.40082 
   0.000873831      4.06328 
   0.000873864      3.74604 
   0.000873901      3.40785 
   0.000873933      3.14222 
   0.000873965       2.8941 
   0.000873997      2.66288 
   0.000874028      2.44796 
    0.00087406      2.24864 
   0.000874092      2.06422 
   0.000874124      1.89395 
   0.000874155      1.73711 
   0.000874187      1.59293 
   0.000874219      1.46066 
    0.00087425      1.34384 
    0.00087428      1.23672 
   0.000874311      1.13865 
   0.000874341      1.04902 
   0.000874372     0.967215 
   0.000874403     0.892669 
   0.000874433     0.824824 
   0.000874464     0.763157 
   0.000874494     0.707166 
   0.000874525     0.656385 
   0.000874556      0.61037 
   0.000874586      0.56871 
   0.000874617     0.531015 
   0.000874647     0.496929 
   0.000874678     0.466118 
   0.000874709     0.438278 
   0.000874744     0.409473 
   0.000874779     0.383852 
   0.000874814     0.361054 
    0.00087485     0.340761 
   0.000874885     0.322683 
    0.00087492     0.306564 
   0.000874956     0.292176 
   0.000874991     0.279316 
   0.000875026     0.267804 
   0.000875062     0.257484 
   0.000875109     0.245336 
   0.000875156     0.234774 
   0.000875203     0.225562 
    0.00087525     0.217501 
   0.000875297     0.210425 
   0.000875367     0.201366 
   0.000875438     0.193855 
     0.0008755     0.188323 
   0.000875577     0.182613 
   0.000875653     0.177988 
    0.00087573     0.174301 
   0.000875807     0.171449 
   0.000875884     0.169358 
   0.000875961     0.167981 
   0.000876037     0.167289 
   0.000876076     0.167196 
    0.00087618     0.167801 
   0.000876283     0.169704 
   0.000876361     0.172054 
   0.000876439     0.175288 
   0.000876517     0.179528 
   0.000876595     0.184948 
   0.000876673     0.191791 
   0.000876725     0.197303 
   0.000876777     0.203719 
   0.000876829     0.211196 
   0.000876881     0.219924 
   0.000876928     0.229041 
   0.000876969     0.238317 
   0.000877011     0.248872 
   0.000877052     0.260899 
   0.000877094     0.274624 
   0.000877135     0.290305 
   0.000877166     0.303528 
   0.000877198     0.318157 
   0.000877229      0.33435 
    0.00087726     0.352274 
   0.000877291     0.372118 
   0.000877322     0.394083 
   0.000877353     0.418394 
   0.000877385     0.445288 
   0.000877416     0.475029 
   0.000877447     0.507894 
   0.000877478     0.544189 
   0.000877509     0.584235 
    0.00087754     0.628377 
   0.000877572     0.676979 
   0.000877598     0.721172 
   0.000877624     0.768967 
    0.00087765      0.82061 
   0.000877675     0.876353 
   0.000877702     0.936463 
   0.000877727      1.00121 
   0.000877753      1.07086 
   0.000877779      1.14571 
   0.000877805      1.22605 
   0.000877831      1.31216 
   0.000877857      1.40434 
   0.000877883      1.50288 
   0.000877909      1.60809 
   0.000877935      1.72023 
   0.000877961       1.8396 
   0.000877987      1.96648 
   0.000878024      2.15722 
    0.00087806      2.36388 
   0.000878096      2.58707 
   0.000878133      2.82733 
   0.000878169      3.08511 
   0.000878205      3.36074 
   0.000878242      3.65444 
   0.000878278      3.96624 
    0.00087832      4.34954 
   0.000878362      4.75649 
   0.000878418       5.3345 
   0.000878474      5.95024 
   0.000878548      6.81019 
    0.00087864      7.93719 
   0.000878835      10.4194 
   0.000878922      11.4751 
   0.000878998      12.3172 
   0.000879062      12.9557 
   0.000879114      13.4158 
   0.000879174      13.8623 
   0.000879227      14.1804 
   0.000879274      14.3931 
   0.000879333      14.5714 
   0.000879394      14.6391 
     0.0008794      14.6395 
   0.000879446      14.6059 
   0.000879506      14.4608 
    0.00087957      14.1917 
   0.000879619      13.8988 
   0.000879679      13.4606 
   0.000879732      13.0032 
   0.000879791      12.4274 
   0.000879872      11.5349 
   0.000879965      10.4063 
   0.000880181       7.6644 
   0.000880262      6.67481 
    0.00088033      5.89309 
   0.000880384      5.30276 
   0.000880428      4.84099 
   0.000880475      4.38508 
   0.000880522      3.95827 
   0.000880569      3.56116 
   0.000880615      3.19393 
   0.000880657      2.89238 
   0.000880688      2.68131 
   0.000880719      2.48291 
    0.00088075      2.29686 
   0.000880782      2.12281 
   0.000880813      1.96035 
   0.000880844      1.80903 
   0.000880875      1.66843 
   0.000880906      1.53804 
   0.000880937      1.41738 
   0.000880969      1.30594 
   0.000880992      1.22811 
   0.000881018      1.14712 
   0.000881044      1.07162 
    0.00088107      1.00134 
   0.000881096      0.93599 
   0.000881122     0.875287 
   0.000881148     0.818965 
   0.000881174     0.766761 
     0.0008812      0.71842 
   0.000881226     0.673697 
   0.000881252     0.632357 
   0.000881278     0.594175 
   0.000881304     0.558935 
    0.00088133     0.526432 
   0.000881356      0.49647 
   0.000881382     0.468866 
   0.000881406     0.444666 
   0.000881441     0.413391 
   0.000881476     0.385433 
   0.000881511     0.360449 
   0.000881547     0.338123 
   0.000881582     0.318169 
   0.000881617     0.300327 
   0.000881652     0.284366 
   0.000881687     0.270074 
   0.000881722     0.257263 
   0.000881757     0.245766 
   0.000881792     0.235433 
   0.000881839     0.223238 
   0.000881885     0.212604 
   0.000881932     0.203299 
   0.000881979     0.195127 
   0.000882026     0.187924 
   0.000882072     0.181551 
   0.000882143       0.1733 
    0.00088222     0.165688 
   0.000882297     0.159346 
   0.000882375      0.15404 
   0.000882452     0.149595 
    0.00088253     0.145885 
   0.000882607     0.142813 
    0.00088271     0.139592 
   0.000882814     0.137266 
   0.000882917     0.135757 
   0.000883019     0.135024 
    0.00088307     0.134936 
    0.00088316      0.13523 
   0.000883251     0.136108 
   0.000883341     0.137593 
   0.000883431     0.139727 
   0.000883521     0.142573 
   0.000883611     0.146221 
   0.000883701     0.150799 
   0.000883791      0.15649 
   0.000883869     0.162505 
   0.000883947     0.169775 
   0.000883999      0.17547 
   0.000884051     0.181978 
   0.000884103     0.189446 
   0.000884155     0.198051 
   0.000884207     0.208008 
   0.000884246     0.216519 
   0.000884285     0.226067 
   0.000884324       0.2368 
   0.000884363     0.248889 
   0.000884402      0.26253 
    0.00088444     0.277945 
   0.000884479     0.295384 
   0.000884518     0.315132 
   0.000884557      0.33751 
   0.000884583     0.354063 
   0.000884609      0.37206 
   0.000884635     0.391624 
   0.000884661      0.41289 
   0.000884687     0.435999 
   0.000884713     0.461105 
   0.000884739     0.488368 
   0.000884765     0.517961 
   0.000884791     0.550065 
   0.000884817     0.584872 
   0.000884843     0.622585 
   0.000884869     0.663415 
   0.000884895     0.707583 
   0.000884921     0.755322 
   0.000884947     0.806873 
   0.000884973     0.862484 
   0.000884999     0.922414 
   0.000885025     0.986927 
    0.00088505      1.05271 
   0.000885085       1.1542 
    0.00088512      1.26571 
   0.000885155      1.38796 
    0.00088519      1.52164 
   0.000885225      1.66745 
    0.00088526       1.8261 
   0.000885295      1.99823 
    0.00088533      2.18447 
   0.000885365      2.38541 
     0.0008854      2.60156 
   0.000885428        2.784 
    0.00088546      3.00799 
   0.000885492      3.24569 
   0.000885525      3.49724 
   0.000885573       3.9007 
   0.000885621      4.33531 
   0.000885669      4.80039 
   0.000885719      5.31109 
   0.000885769      5.85079 
   0.000885844      6.70829 
   0.000885931      7.76549 
   0.000886135      10.3112 
   0.000886224      11.3723 
   0.000886302      12.2205 
   0.000886368       12.855 
   0.000886434       13.409 
   0.000886494      13.8171 
    0.00088654       14.069 
   0.000886599      14.2974 
   0.000886653      14.4206 
     0.0008867       14.453 
   0.000886751      14.4124 
   0.000886813      14.2552 
   0.000886876      13.9791 
   0.000886926      13.6828 
   0.000886986       13.243 
   0.000887039      12.7826 
   0.000887099      12.1967 
   0.000887174      11.3816 
   0.000887265      10.2959 
   0.000887481      7.59629 
   0.000887562      6.62007 
    0.00088763      5.84804 
   0.000887684      5.26445 
   0.000887728      4.80757 
   0.000887775       4.3561 
   0.000887822      3.93308 
   0.000887869      3.53913 
   0.000887915      3.17448 
   0.000887957      2.87475 
   0.000887988       2.6648 
   0.000888019       2.4673 
   0.000888051      2.28197 
   0.000888082      2.10845 
   0.000888113      1.94638 
   0.000888144       1.7953 
   0.000888175      1.65481 
   0.000888206      1.52441 
   0.000888237      1.40365 
   0.000888269      1.29201 
   0.000888292      1.21398 
   0.000888318      1.13273 
   0.000888344      1.05694 
    0.00088837     0.986319 
   0.000888396     0.920599 
   0.000888422     0.859505 
   0.000888448     0.802772 
   0.000888474      0.75014 
     0.0008885     0.701359 
   0.000888526     0.656186 
   0.000888552      0.61439 
   0.000888578     0.575747 
   0.000888604     0.540044 
    0.00088863     0.507078 
   0.000888656     0.476654 
   0.000888682     0.448591 
   0.000888713     0.417785 
    0.00088874     0.393192 
   0.000888767      0.37062 
   0.000888795     0.349902 
   0.000888822     0.330888 
   0.000888849     0.313434 
   0.000888876     0.297409 
   0.000888913     0.278053 
   0.000888949     0.260754 
   0.000888985     0.245275 
   0.000889022     0.231402 
   0.000889058     0.218948 
   0.000889095     0.207744 
   0.000889131     0.197641 
   0.000889167     0.188508 
   0.000889204     0.180229 
   0.000889258     0.169191 
   0.000889302     0.161296 
   0.000889354      0.15301 
   0.000889406     0.145641 
   0.000889458     0.139045 
    0.00088951     0.133104 
   0.000889588      0.12521 
   0.000889666     0.118315 
   0.000889744     0.112224 
   0.000889822     0.106793 
     0.0008899      0.10191 
   0.000890004    0.0961071 
   0.000890107    0.0909759 
   0.000890224    0.0858652 
   0.000890341    0.0813386 
   0.000890458    0.0773027 
   0.000890575    0.0736842 
   0.000890692    0.0704245 
   0.000890809    0.0674756 
   0.000890964    0.0639595 
    0.00089112    0.0608497 
   0.000891276    0.0580847 
   0.000891458    0.0552293 
   0.000891666    0.0523781 
   0.000891873    0.0498951 
   0.000892081    0.0477215 
   0.000892289    0.0458101 
   0.000892497    0.0441228 
   0.000892705    0.0426285 
   0.000893016    0.0406937 
   0.000893328    0.0390666 
    0.00089364    0.0376937 
   0.000893951     0.036534 
   0.000894263    0.0355557 
   0.000894678    0.0344907 
   0.000895094    0.0336579 
   0.000895509    0.0330226 
   0.000895925    0.0325585 
   0.000896341    0.0322458 
   0.000896902    0.0320389 
   0.000897089    0.0320211 
   0.000897661    0.0321171 
   0.000898233    0.0324336 
   0.000898805    0.0329706 
   0.000899377     0.033735 
   0.000899949    0.0347463 
   0.000900513    0.0360214 
   0.000900886    0.0370414 
    0.00090126    0.0382232 
   0.000901633    0.0395914 
   0.000902007    0.0411779 
    0.00090238    0.0430238 
   0.000902753    0.0451829 
   0.000903033    0.0470498 
   0.000903351    0.0494761 
   0.000903575    0.0514253 
   0.000903799    0.0536072 
   0.000904023    0.0560626 
   0.000904247    0.0588424 
   0.000904471    0.0620104 
   0.000904639    0.0646894 
   0.000904807    0.0676746 
   0.000904998    0.0715148 
   0.000905157    0.0751214 
   0.000905316    0.0791853 
   0.000905475    0.0837953 
   0.000905594    0.0876786 
   0.000905713    0.0919935 
   0.000905832     0.096816 
   0.000905951     0.102243 
    0.00090607     0.108404 
   0.000906149     0.113003 
   0.000906235     0.118545 
   0.000906329     0.125298 
   0.000906399     0.130997 
   0.000906469     0.137359 
   0.000906539     0.144529 
   0.000906609     0.152695 
   0.000906679     0.162102 
   0.000906725      0.16922 
   0.000906772     0.177149 
   0.000906819     0.186033 
   0.000906865     0.196041 
   0.000906912     0.207374 
   0.000906954     0.218904 
   0.000906992     0.230381 
   0.000907029     0.243184 
   0.000907066       0.2575 
   0.000907104     0.273541 
   0.000907141     0.291546 
   0.000907178     0.311784 
   0.000907206     0.328608 
   0.000907234     0.346997 
   0.000907262     0.367104 
    0.00090729     0.389092 
   0.000907318      0.41314 
   0.000907346     0.439436 
   0.000907374     0.468188 
   0.000907402     0.499614 
    0.00090743      0.53395 
   0.000907458     0.571441 
   0.000907486     0.612358 
   0.000907514     0.656977 
   0.000907545     0.709838 
   0.000907568     0.753944 
   0.000907591      0.80125 
   0.000907615     0.851951 
   0.000907638     0.906251 
   0.000907661     0.964359 
   0.000907685      1.02649 
   0.000907708      1.09286 
   0.000907731       1.1637 
   0.000907755      1.23924 
    0.00090779      1.36185 
   0.000907825      1.49636 
    0.00090786      1.64355 
   0.000907895      1.80424 
   0.000907925      1.95502 
   0.000907953      2.10415 
   0.000907981      2.26323 
   0.000908018      2.49143 
   0.000908056      2.73875 
   0.000908093      3.00593 
    0.00090813      3.29355 
   0.000908168      3.60212 
   0.000908205      3.93197 
   0.000908251      4.36991 
   0.000908297      4.84064 
   0.000908344      5.34365 
    0.00090839      5.87784 
   0.000908452      6.63565 
   0.000908522      7.55325 
   0.000908592      8.51981 
    0.00090875      10.8093 
   0.000908847      12.1997 
   0.000908933      13.3637 
   0.000909012      14.3325 
   0.000909072      14.9969 
   0.000909124      15.4938 
   0.000909182      15.9684 
    0.00090923      16.2821 
   0.000909284      16.5474 
   0.000909343      16.7278 
   0.000909399      16.7838 
   0.000909459      16.7227 
   0.000909514      16.5568 
    0.00090957      16.2785 
   0.000909618       15.964 
   0.000909676      15.4886 
   0.000909728      14.9912 
   0.000909788      14.3267 
   0.000909867       13.358 
   0.000909953       12.195 
   0.000910208      8.52109 
   0.000910278      7.55677 
   0.000910348      6.64156 
    0.00091041      5.88583 
   0.000910456       5.3532 
   0.000910503      4.85175 
   0.000910549      4.38253 
   0.000910595      3.94609 
   0.000910637      3.57778 
   0.000910679      3.23634 
    0.00091071      2.99756 
   0.000910742      2.77329 
   0.000910773      2.56314 
   0.000910805      2.36671 
   0.000910836      2.18352 
   0.000910868      2.01306 
   0.000910899      1.85481 
   0.000910931      1.70822 
   0.000910961      1.57752 
   0.000910992      1.45659 
   0.000911022      1.34489 
   0.000911052      1.24191 
   0.000911083      1.14713 
   0.000911113      1.06005 
   0.000911143     0.980171 
   0.000911174     0.907017 
   0.000911204     0.840116 
   0.000911234     0.779025 
   0.000911265     0.723314 
   0.000911295     0.672576 
   0.000911325     0.626419 
   0.000911356     0.584478 
   0.000911386     0.546406 
   0.000911416      0.51188 
   0.000911451     0.476049 
   0.000911486     0.444102 
   0.000911521     0.415639 
   0.000911556     0.390299 
   0.000911591      0.36775 
   0.000911626     0.347691 
   0.000911661     0.329852 
   0.000911696     0.313987 
   0.000911731     0.299878 
   0.000911766     0.287328 
    0.00091179      0.27974 
   0.000911837     0.266224 
   0.000911883      0.25465 
    0.00091193     0.244735 
   0.000911977     0.236239 
   0.000912023     0.228965 
    0.00091207     0.222744 
    0.00091214     0.215096 
   0.000912217     0.208668 
   0.000912297     0.203774 
   0.000912376      0.20048 
   0.000912456     0.198644 
   0.000912523      0.19819 
    0.00091259     0.198737 
   0.000912655     0.200298 
    0.00091272     0.202984 
   0.000912785      0.20696 
    0.00091285     0.212449 
   0.000912893     0.217096 
   0.000912936     0.222661 
    0.00091298     0.229275 
   0.000913023     0.237094 
   0.000913066       0.2463 
    0.00091311     0.257105 
   0.000913153     0.269754 
   0.000913186     0.280617 
   0.000913218     0.292806 
   0.000913251     0.306469 
   0.000913283     0.321766 
    0.00091332     0.341109 
   0.000913356     0.363006 
   0.000913383     0.381286 
   0.000913411     0.401307 
   0.000913438     0.423216 
   0.000913466     0.447166 
   0.000913493     0.473321 
    0.00091352     0.501853 
   0.000913548     0.532945 
   0.000913575     0.566785 
   0.000913602     0.603577 
    0.00091363     0.643525 
   0.000913657     0.686845 
   0.000913685     0.733761 
   0.000913712     0.784502 
   0.000913739     0.839304 
   0.000913767     0.898408 
   0.000913794     0.962053 
   0.000913821      1.03049 
   0.000913849      1.10397 
   0.000913878      1.18955 
   0.000913913       1.2964 
   0.000913947       1.4124 
   0.000913981      1.53799 
   0.000914015       1.6736 
    0.00091405      1.81962 
   0.000914084      1.97642 
   0.000914118       2.1443 
   0.000914152      2.32352 
   0.000914186      2.51427 
   0.000914232      2.78674 
   0.000914281      3.10435 
   0.000914331      3.44588 
    0.00091438       3.8106 
   0.000914429      4.19729 
   0.000914495      4.74404 
   0.000914566      5.37054 
   0.000914661      6.24514 
   0.000914831      7.83471 
   0.000914918      8.61329 
   0.000914995      9.23954 
    0.00091506      9.71678 
   0.000915114      10.0609 
   0.000915172       10.379 
   0.000915225      10.6096 
   0.000915283      10.7989 
   0.000915333      10.9015 
   0.000915395      10.9517 
     0.0009154       10.952 
   0.000915458      10.9124 
   0.000915511       10.811 
   0.000915569      10.6276 
   0.000915616      10.4297 
   0.000915674      10.1231 
   0.000915743      9.68673 
   0.000915814         9.16 
   0.000915896      8.47835 
   0.000915991       7.6236 
   0.000916203      5.64386 
    0.00091628      4.95714 
   0.000916338      4.45882 
   0.000916387      4.05876 
   0.000916437       3.6796 
   0.000916486      3.32283 
   0.000916535      2.98951 
   0.000916579       2.7106 
   0.000916614      2.50833 
   0.000916648      2.31767 
   0.000916682      2.13852 
   0.000916716      1.97067 
    0.00091675      1.81388 
   0.000916785      1.66781 
   0.000916819      1.53214 
   0.000916853      1.40644 
   0.000916887      1.29031 
   0.000916922      1.18328 
   0.000916951      1.09752 
   0.000916979      1.02386 
   0.000917006     0.955212 
   0.000917033     0.891335 
   0.000917061     0.831988 
   0.000917088     0.776922 
   0.000917115     0.725899 
   0.000917143     0.678682 
    0.00091717     0.635045 
   0.000917197     0.594762 
   0.000917225     0.557622 
   0.000917252     0.523412 
    0.00091728     0.491937 
   0.000917307     0.463005 
   0.000917334     0.436435 
   0.000917362     0.412054 
   0.000917389     0.389699 
   0.000917417     0.369215 
   0.000917444     0.350457 
    0.00091748     0.327895 
   0.000917517     0.307859 
   0.000917547     0.293249 
   0.000917576      0.27999 
   0.000917606     0.267959 
    0.00091765     0.251964 
   0.000917695     0.238128 
   0.000917739     0.226147 
   0.000917784     0.215756 
   0.000917828     0.206729 
   0.000917873     0.198866 
   0.000917917        0.192 
   0.000917962     0.185986 
   0.000918021     0.179083 
    0.00091808     0.173235 
    0.00091814     0.168251 
   0.000918229     0.162063 
   0.000918318     0.157083 
   0.000918407     0.153033 
   0.000918511     0.149184 
   0.000918648     0.145333 
   0.000918785     0.142512 
   0.000918922     0.140516 
   0.000919105     0.138915 
   0.000919291     0.138345 
   0.000919483     0.138752 
   0.000919674     0.140097 
   0.000919865     0.142366 
   0.000920056     0.145597 
   0.000920247     0.149884 
   0.000920391     0.153892 
   0.000920534     0.158701 
   0.000920678     0.164484 
    0.00092079     0.169858 
   0.000920887     0.175241 
   0.000920983     0.181506 
    0.00092108     0.188911 
   0.000921145     0.194656 
   0.000921209     0.201215 
   0.000921274     0.208776 
   0.000921338     0.217578 
   0.000921403     0.227924 
   0.000921451     0.236924 
   0.000921499     0.247201 
   0.000921548     0.258988 
   0.000921596     0.272555 
   0.000921644     0.288219 
   0.000921693     0.306347 
   0.000921725     0.320009 
   0.000921757     0.335094 
   0.000921797     0.355843 
   0.000921837     0.379297 
   0.000921866     0.398872 
   0.000921896     0.420322 
   0.000921926     0.443819 
   0.000921956     0.469545 
   0.000921985     0.497695 
   0.000922015     0.528472 
   0.000922045     0.562094 
   0.000922075     0.598787 
   0.000922104     0.638794 
   0.000922134      0.68236 
   0.000922164     0.729746 
   0.000922194     0.781216 
   0.000922223     0.837049 
   0.000922253     0.897525 
   0.000922283     0.962932 
   0.000922313      1.03355 
   0.000922343      1.10969 
   0.000922372      1.19163 
   0.000922404      1.28727 
   0.000922442      1.40697 
   0.000922479      1.53719 
   0.000922516      1.67841 
   0.000922553       1.8311 
    0.00092259      1.99565 
   0.000922628      2.17242 
   0.000922665      2.36166 
   0.000922702      2.56354 
   0.000922739      2.77815 
   0.000922789      3.08404 
   0.000922837      3.39857 
   0.000922884      3.73281 
   0.000922948      4.20718 
   0.000923011      4.71086 
