#ZVView-data-copy:  30-May-2023 20:43:01
#=======================================
#
#name:   64-GD-156(N,2N)64-GD-155,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  14
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         0.335        0.015         0.15        0.013  # 1977,V.N.Kononov+        ## 40520021  #dY:8.7%   
           0.5         0.04        0.216        0.027  # 1981,J.Voignier+         ## 21619007  #dY:12.5%  
             1        0.035        0.211        0.024  # 1981,J.Voignier+         ## 21619007  #dY:11.4%  
           2.5         0.03        0.078        0.009  # 1981,J.Voignier+         ## 21619007  #dY:11.5%  
//
#-------------------------------------------------------------------------------
#
#name:   64-GD-156(N,A)62-SM-153,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  3
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          14.2          0.1       0.0085       0.0013  # 1969,P.Rama Prasad+      ## 30051015  #dY:15.3%  
          14.5            0      0.00322     0.000483  # 1959,R.F.Coleman+        ## 21440019  #dY:15.0%  
          14.7          0.3       0.0031        0.001  # 1984,S.M.Qaim            ## 21997007  #dY:32.3%  
//
#-------------------------------------------------------------------------------
#
#name:   64-GD-156(N,G)64-GD-157,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  24
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         0.004        0.001        1.949      0.10914  # 1995,K.Wisshak+          ## 22386011  #dY:5.6%   
       0.00625      0.00125        1.401     0.040629  # 1995,K.Wisshak+          ## 22386011  #dY:2.9%   
       0.00875      0.00125        1.158      0.02895  # 1995,K.Wisshak+          ## 22386011  #dY:2.5%   
       0.01125      0.00125       0.9383     0.018766  # 1995,K.Wisshak+          ## 22386011  #dY:2.0%   
       0.01375      0.00125       0.8263     0.014047  # 1995,K.Wisshak+          ## 22386011  #dY:1.7%   
        0.0175       0.0025       0.7511    0.0082621  # 1995,K.Wisshak+          ## 22386011  #dY:1.1%   
          0.02        0.005        0.699     0.037047  # 2007,W.-Ch.Chung+        ## 23080002  #dY:5.3%   
        0.0225       0.0025       0.6805    0.0061245  # 1995,K.Wisshak+          ## 22386011  #dY:0.9%   
        0.0275       0.0025       0.6112    0.0048896  # 1995,K.Wisshak+          ## 22386011  #dY:0.8%   
          0.03        0.005        0.544     0.025024  # 2007,W.-Ch.Chung+        ## 23080002  #dY:4.6%   
         0.035        0.005       0.5626    0.0033756  # 1995,K.Wisshak+          ## 22386011  #dY:0.6%   
          0.04        0.005        0.497     0.022365  # 2007,W.-Ch.Chung+        ## 23080002  #dY:4.5%   
         0.045        0.005       0.5283    0.0031698  # 1995,K.Wisshak+          ## 22386011  #dY:0.6%   
          0.05        0.005        0.452     0.021244  # 2007,W.-Ch.Chung+        ## 23080002  #dY:4.7%   
         0.055        0.005       0.4775     0.002865  # 1995,K.Wisshak+          ## 22386011  #dY:0.6%   
          0.06        0.005        0.427     0.020923  # 2007,W.-Ch.Chung+        ## 23080002  #dY:4.9%   
          0.07         0.01       0.4127    0.0020635  # 1995,K.Wisshak+          ## 22386011  #dY:0.5%   
        0.0815       0.0165        0.374     0.017952  # 2007,W.-Ch.Chung+        ## 23080002  #dY:4.8%   
          0.09         0.01       0.3531    0.0017655  # 1995,K.Wisshak+          ## 22386011  #dY:0.5%   
          0.11         0.01       0.3079    0.0018474  # 1995,K.Wisshak+          ## 22386011  #dY:0.6%   
         0.135        0.015       0.2607    0.0023463  # 1995,K.Wisshak+          ## 22386011  #dY:0.9%   
        0.1625       0.0125       0.2306     0.002306  # 1995,K.Wisshak+          ## 22386011  #dY:1.0%   
        0.1875       0.0125       0.2049    0.0022539  # 1995,K.Wisshak+          ## 22386011  #dY:1.1%   
        0.2125       0.0125       0.1983    0.0027762  # 1995,K.Wisshak+          ## 22386011  #dY:1.4%   
//
#-------------------------------------------------------------------------------
#
#name:   JEFF-3.3: GD-156(N,EL)GD-156-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  6786
#data...
#            X            Y
#          MeV        barns
         1e-11      25.8688 
   1.10304e-11      24.6809 
   1.21669e-11      23.5523 
   1.35153e-11      22.4055 
   1.50122e-11      21.3211 
   1.66759e-11      20.2948 
   1.85229e-11      19.3249 
   2.05756e-11      18.4078 
   2.28546e-11      17.5417 
   2.53873e-11      16.7234 
   2.81993e-11      15.9513 
   3.13243e-11      15.2227 
   3.47938e-11       14.536 
   3.86497e-11      13.8888 
   4.29306e-11      13.2797 
   4.76881e-11      12.7065 
   5.29701e-11      12.1679 
   5.88402e-11       11.662 
   6.53575e-11      11.1876 
   7.31088e-11      10.7144 
   8.17795e-11      10.2736 
   9.14784e-11       9.8635 
   1.02328e-10      9.48268 
   1.14464e-10      9.12964 
   1.28942e-10      8.78333 
   1.45245e-10      8.46533 
   1.63617e-10      8.17375 
   1.85604e-10      7.89235 
   2.10545e-10      7.63722 
   2.40511e-10      7.39455 
   2.74756e-10      7.17712 
   3.16075e-10       6.9735 
   3.66154e-10      6.78513 
    4.2716e-10      6.61294 
   5.01847e-10      6.45749 
    5.9788e-10      6.31358 
   7.22375e-10      6.18332 
   8.85063e-10      6.06801 
    1.10745e-9      5.96507 
    1.42508e-9      5.87371 
    1.89924e-9      5.79418 
    2.65829e-9      5.72592 
    3.96272e-9      5.66969 
    6.51624e-9      5.62475 
    1.26762e-8      5.59079 
    2.52419e-8      5.57273 
       2.53e-8      5.57269 
    1.28499e-7      5.55639 
    7.90099e-6      5.38571 
    1.28115e-5      5.24197 
    1.64861e-5      5.09905 
    1.92329e-5      4.95821 
    2.13632e-5      4.81604 
    2.30749e-5      4.66827 
    2.44049e-5      4.52144 
    2.54525e-5      4.37693 
    2.63591e-5       4.2216 
    2.71081e-5      4.06396 
    2.76845e-5      3.91767 
     2.8075e-5      3.80255 
    2.84711e-5      3.66931 
    2.88728e-5       3.5128 
    2.91776e-5      3.37638 
    2.94853e-5      3.21962 
    2.97972e-5      3.03667 
    3.00067e-5      2.89744 
    3.02176e-5      2.74135 
      3.043e-5      2.56525 
    3.05905e-5      2.41766 
    3.07509e-5       2.2557 
    3.09136e-5      2.07483 
     3.1022e-5      1.94374 
    3.11305e-5      1.80348 
    3.12336e-5      1.66114 
    3.13312e-5      1.51764 
    3.14289e-5      1.36545 
    3.15266e-5      1.20455 
     3.1629e-5      1.02679 
    3.17363e-5     0.832403 
    3.19079e-5     0.514013 
    3.19615e-5     0.417237 
    3.19991e-5     0.352062 
    3.20259e-5      0.30743 
    3.20474e-5     0.273218 
    3.20675e-5      0.24261 
    3.20876e-5     0.213683 
     3.2101e-5     0.195474 
    3.21171e-5     0.174918 
    3.21278e-5     0.162083 
    3.21385e-5     0.150014 
    3.21479e-5     0.140131 
      3.216e-5     0.128432 
     3.2168e-5     0.121311 
    3.21761e-5     0.114772 
    3.21828e-5     0.109792 
    3.21895e-5     0.105263 
    3.21962e-5     0.101207 
    3.22029e-5    0.0976474 
    3.22099e-5    0.0944727 
     3.2217e-5    0.0919043 
    3.22237e-5    0.0900512 
    3.22297e-5    0.0889028 
    3.22357e-5    0.0882693 
    3.22398e-5    0.0881446 
    3.22458e-5     0.088422 
    3.22518e-5     0.089279 
    3.22575e-5    0.0906445 
    3.22631e-5    0.0925087 
    3.22686e-5    0.0949261 
    3.22734e-5    0.0975256 
    3.22783e-5     0.100586 
    3.22835e-5     0.104388 
    3.22887e-5     0.108757 
    3.22937e-5     0.113547 
    3.22988e-5     0.118912 
    3.23038e-5     0.124873 
    3.23088e-5     0.131453 
    3.23138e-5     0.138676 
    3.23189e-5     0.146567 
    3.23239e-5     0.155152 
    3.23289e-5     0.164457 
     3.2335e-5     0.176615 
     3.2341e-5     0.189901 
     3.2347e-5     0.204371 
    3.23531e-5      0.22008 
    3.23591e-5     0.237087 
    3.23658e-5     0.257583 
    3.23728e-5     0.281012 
    3.23799e-5     0.306503 
    3.23852e-5     0.327383 
    3.23906e-5     0.349585 
    3.23986e-5     0.385495 
    3.24047e-5     0.414589 
    3.24114e-5     0.449217 
    3.24181e-5     0.486397 
    3.24248e-5     0.526276 
    3.24322e-5     0.573445 
    3.24402e-5     0.629101 
    3.24483e-5     0.689438 
    3.24563e-5     0.754791 
    3.24643e-5     0.825525 
    3.24724e-5     0.902033 
    3.24804e-5     0.984745 
    3.24885e-5      1.07413 
    3.24969e-5      1.17572 
    3.25058e-5      1.29135 
    3.25146e-5       1.4172 
    3.25235e-5      1.55419 
    3.25306e-5      1.67293 
    3.25386e-5      1.81754 
    3.25467e-5      1.97384 
    3.25547e-5      2.14287 
    3.25628e-5      2.32574 
    3.25708e-5      2.52374 
    3.25788e-5      2.73827 
    3.25869e-5      2.97092 
    3.25949e-5      3.22347 
     3.2603e-5      3.49795 
     3.2611e-5      3.79662 
    3.26191e-5      4.12209 
    3.26271e-5       4.4773 
    3.26352e-5      4.86561 
    3.26432e-5       5.2909 
    3.26513e-5      5.75759 
    3.26593e-5      6.27079 
    3.26673e-5      6.83637 
    3.26754e-5      7.46113 
    3.26808e-5      7.91433 
    3.26861e-5       8.3999 
    3.26915e-5      8.92073 
    3.26968e-5      9.47999 
    3.27022e-5      10.0812 
    3.27076e-5      10.7282 
    3.27129e-5      11.4251 
    3.27183e-5      12.1768 
    3.27237e-5      12.9882 
     3.2729e-5       13.865 
    3.27344e-5      14.8133 
    3.27397e-5      15.8399 
    3.27451e-5      16.9521 
    3.27505e-5      18.1578 
    3.27558e-5       19.466 
    3.27612e-5      20.8859 
    3.27666e-5       22.428 
    3.27719e-5      24.1033 
    3.27773e-5      25.9238 
    3.27826e-5      27.9025 
     3.2788e-5      30.0534 
    3.27934e-5      32.3912 
    3.27987e-5      34.9318 
    3.28041e-5      37.6921 
    3.28095e-5      40.6899 
    3.28148e-5      43.9443 
    3.28202e-5       47.475 
    3.28256e-5      51.3028 
    3.28307e-5      55.2342 
    3.28355e-5      59.2416 
    3.28403e-5      63.5414 
    3.28451e-5      68.1509 
      3.285e-5      73.0878 
    3.28548e-5      78.3699 
    3.28596e-5      84.0153 
    3.28644e-5       90.042 
    3.28693e-5       96.468 
    3.28741e-5      103.311 
    3.28789e-5      110.589 
    3.28838e-5      118.317 
     3.2891e-5      130.791 
    3.28982e-5      144.366 
    3.29055e-5      159.087 
    3.29119e-5      173.163 
    3.29183e-5      188.192 
    3.29248e-5      204.187 
    3.29334e-5      227.023 
    3.29424e-5       252.84 
    3.29501e-5      276.432 
    3.29604e-5      309.882 
     3.2969e-5      339.363 
    3.29818e-5      385.947 
     3.2999e-5      451.318 
     3.3029e-5      568.115 
    3.30419e-5      616.005 
    3.30548e-5      660.688 
    3.30677e-5      700.835 
    3.30805e-5      735.193 
    3.30891e-5      754.331 
    3.30977e-5      770.126 
    3.31063e-5      782.351 
    3.31172e-5      792.496 
    3.31258e-5      796.056 
    3.31294e-5      796.387 
     3.3138e-5       794.39 
    3.31477e-5      787.562 
    3.31552e-5      779.005 
    3.31638e-5      765.916 
    3.31723e-5      749.521 
    3.31852e-5      719.349 
    3.31981e-5       683.46 
     3.3211e-5      643.074 
    3.32281e-5      584.442 
    3.32667e-5      446.644 
    3.32796e-5      402.629 
    3.32914e-5      364.275 
    3.33011e-5      334.616 
    3.33107e-5       306.68 
    3.33208e-5      279.461 
    3.33311e-5      253.794 
     3.3338e-5      237.887 
    3.33448e-5      222.938 
    3.33517e-5      208.929 
    3.33586e-5      195.838 
    3.33654e-5      183.637 
    3.33742e-5      169.248 
    3.33823e-5       157.25 
    3.33903e-5      146.295 
    3.33984e-5      136.313 
    3.34064e-5      127.235 
    3.34144e-5      118.991 
    3.34225e-5      111.512 
    3.34305e-5      104.733 
    3.34386e-5      98.5885 
    3.34466e-5      93.0202 
    3.34547e-5      87.9717 
    3.34627e-5      83.3908 
    3.34708e-5      79.2299 
    3.34761e-5      76.6675 
    3.34868e-5       71.997 
    3.34976e-5      67.8613 
    3.35083e-5      64.1854 
     3.3519e-5      60.9046 
    3.35298e-5      57.9636 
    3.35405e-5      55.3154 
    3.35525e-5      52.6366 
    3.35646e-5      50.2303 
    3.35807e-5      47.3787 
    3.35968e-5      44.8671 
    3.36129e-5      42.6368 
     3.3629e-5      40.6418 
    3.36451e-5      38.8458 
    3.36612e-5      37.2195 
    3.36805e-5      35.4593 
     3.3703e-5      33.6291 
    3.37255e-5      32.0009 
     3.3748e-5       30.543 
    3.37706e-5        29.23 
    3.38044e-5      27.4884 
    3.38381e-5      25.9735 
    3.38762e-5      24.4868 
    3.39164e-5      23.1234 
    3.39567e-5      21.9336 
    3.39969e-5      20.8867 
    3.40371e-5      19.9589 
    3.40639e-5       19.397 
    3.41176e-5      18.3889 
    3.41712e-5      17.5106 
    3.42248e-5      16.7391 
    3.42785e-5      16.0563 
    3.43321e-5      15.4479 
    3.44125e-5      14.6502 
     3.4493e-5      13.9651 
    3.45734e-5      13.3706 
    3.46539e-5      12.8502 
    3.47612e-5      12.2498 
    3.48684e-5      11.7354 
    3.49757e-5        11.29 
     3.5083e-5      10.9006 
    3.51985e-5      10.5324 
    3.53225e-5      10.1865 
    3.55084e-5      9.74374 
    3.56951e-5      9.37028 
    3.58837e-5      9.04972 
     3.6135e-5      8.69059 
    3.63899e-5      8.38755 
    3.66448e-5      8.13162 
    3.69033e-5      7.90957 
    3.72929e-5       7.6296 
