#ZVView-data-copy:  30-May-2023 21:59:27
#=======================================
#
#name:   40-ZR-94(N,A)38-SR-91,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  86
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         14.78            0      0.00532   0.00039315  # 2016,A.A.Filatenkov      ## 41614062  #dY:7.4%   
          14.8          0.2       0.0053       0.0004  # 2010,V.Semkova+          ## 22822011  #dY:7.5%   
          14.8          0.3       0.0048       0.0007  # 1990,A.Marcinkowski+     ## 30940007  #dY:14.6%  
          14.8            0       0.0052       0.0007  # 1970,V.N.Levkovskii+     ## 40226023  #dY:13.5%  
         14.81        0.125       0.0047       0.0002  # 1977,K.Sailer+           ## 30438014  #dY:4.3%   
         14.83            0       0.0052       0.0005  # 1991,N.I.Molla+          ## 30985010  #dY:9.6%   
          14.9            0       0.0039       0.0005  # 1955,J.E.Brolley Jr+     ## 11860003  #dY:12.8%  
         14.93         0.18       0.0062       0.0004  # 1961,B.P.Bayhurst+       ## 11462012  #dY:6.5%   
         14.95            0      0.00522      0.00044  # 1988,Y.Ikeda+            ## 22089061  #dY:8.4%   
          15.2          0.2       0.0048       0.0007  # 1990,A.Marcinkowski+     ## 30940007  #dY:14.6%  
          15.3          0.2       0.0055       0.0004  # 2010,V.Semkova+          ## 22822011  #dY:7.3%   
          15.4          0.2       0.0046       0.0006  # 1990,A.Marcinkowski+     ## 30940007  #dY:13.0%  
          15.9          0.5       0.0053       0.0011  # 1990,A.Marcinkowski+     ## 30940007  #dY:20.8%  
          16.3          0.3       0.0067       0.0006  # 2010,V.Semkova+          ## 22822011  #dY:9.0%   
          16.5         0.15       0.0066       0.0006  # 1961,B.P.Bayhurst+       ## 11462012  #dY:9.1%   
          16.6          0.1       0.0052        0.001  # 1990,A.Marcinkowski+     ## 30940007  #dY:19.2%  
         17.35         0.09       0.0078       0.0012  # 2016,B.Champine+         ## 14447005  #dY:15.4%  
          17.8          0.2       0.0071       0.0006  # 2010,V.Semkova+          ## 22822011  #dY:8.5%   
         17.95         0.16        0.006       0.0005  # 1961,B.P.Bayhurst+       ## 11462012  #dY:8.3%   
         18.34         0.09       0.0083       0.0012  # 2016,B.Champine+         ## 14447005  #dY:14.5%  
