#ZVView-data-copy:  30-May-2023 21:50:59
#=======================================
#
#name:   40-ZR-91(N,P)39-Y-91-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  57
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          14.8            0        0.775        0.065  # 1981,S.Amemiya+          ## 21770003  #dY:8.4%   
//
#-------------------------------------------------------------------------------
#
#name:   40-ZR-91(N,G)40-ZR-92,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  65
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        2.5e-8            0          1.3         0.04  # 2007,S.Nakamura+         ## 14132002  #dY:3.1%   
        2.7e-5            0        0.048       0.0072  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
          4e-5            0        0.042       0.0042  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
        6.2e-5            0         0.04       0.0048  # 1965,S.P.Kapchigashev    ## 40034003  #dY:12.0%  
          9e-5            0        0.034       0.0034  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00012            0         0.05        0.005  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00013            0         0.13        0.013  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
      0.000135            0         0.23        0.023  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00014            0         0.35        0.035  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00016            0         0.55        0.055  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
      0.000165            0          0.8         0.08  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00017            0         1.05        0.105  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00019            0          1.2         0.12  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00021            0          1.1         0.11  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00023            0            1          0.1  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00025            0          1.5         0.15  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00028            0            2          0.2  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00031            0          2.2         0.22  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00032            0          1.8         0.18  # 1965,S.P.Kapchigashev    ## 40034003  #dY:10.0%  
       0.00035            0          1.2         0.18  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
       0.00037            0          0.8         0.12  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
       0.00038            0          0.6         0.09  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
       0.00039            0         0.72            0  # 1965,S.P.Kapchigashev    ## 40034003             
      0.000395            0         0.61            0  # 1965,S.P.Kapchigashev    ## 40034003             
       0.00041            0          0.6            0  # 1965,S.P.Kapchigashev    ## 40034003             
       0.00045            0        0.475      0.07125  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0005            0         0.39       0.0585  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
       0.00057            0         0.38        0.057  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
       0.00061            0         0.49       0.0735  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0007            0         0.55       0.0825  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
       0.00078            0         0.55       0.0825  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0008            0          0.5        0.075  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0009            0        0.415      0.06225  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
       0.00095            0         0.33       0.0495  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
       0.00105            0         0.27       0.0405  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0011            0        0.235      0.03525  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
       0.00125            0         0.18        0.027  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0014            0         0.24        0.036  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0016            0         0.36        0.054  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0018            0         0.41       0.0615  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0019            0         0.47       0.0705  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
       0.00225            0         0.47       0.0705  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0026            0        0.405      0.06075  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
         0.003            0         0.38        0.057  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0034            0         0.35       0.0525  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
         0.004            0         0.33       0.0495  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0045            0         0.32        0.048  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0051            0         0.28        0.042  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0062            0        0.252       0.0378  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0074            0         0.25       0.0375  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
        0.0085            0         0.21       0.0315  # 1965,S.P.Kapchigashev    ## 40034003  #dY:15.0%  
          0.01            0        0.165        0.033  # 1965,S.P.Kapchigashev    ## 40034003  #dY:20.0%  
         0.012            0        0.155        0.031  # 1965,S.P.Kapchigashev    ## 40034003  #dY:20.0%  
         0.016            0        0.135        0.027  # 1965,S.P.Kapchigashev    ## 40034003  #dY:20.0%  
          0.02        0.005       0.0972       0.0055  # 2005,K.Ohgama+           ## 22897015  #dY:5.7%   
          0.02            0        0.105        0.021  # 1965,S.P.Kapchigashev    ## 40034003  #dY:20.0%  
         0.024            0         0.09        0.018  # 1965,S.P.Kapchigashev    ## 40034003  #dY:20.0%  
          0.03            0        0.059         0.01  # 1963,R.L.Macklin+        ## 11845003  #dY:16.9%  
          0.03        0.005       0.0722       0.0038  # 2005,K.Ohgama+           ## 22897015  #dY:5.3%   
         0.031            0         0.07        0.014  # 1965,S.P.Kapchigashev    ## 40034003  #dY:20.0%  
         0.039            0        0.055        0.011  # 1965,S.P.Kapchigashev    ## 40034003  #dY:20.0%  
         0.045         0.01       0.0467       0.0024  # 2005,K.Ohgama+           ## 22897015  #dY:5.1%   
         0.045            0        0.053            0  # 1965,S.P.Kapchigashev    ## 40034003             
         0.056            0        0.033       0.0066  # 1965,S.P.Kapchigashev    ## 40034003  #dY:20.0%  
        0.0775       0.0225       0.0347       0.0017  # 2005,K.Ohgama+           ## 22897015  #dY:4.9%   
//
#-------------------------------------------------------------------------------
#
#name:   40-ZR-91(N,P)39-Y-91,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  18
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          4.32         0.14       0.0001       0.0001  # 1966,E.E.Carroll+        ## 11856004  #dY:100.0% 
          4.93         0.16       0.0008       0.0004  # 1966,E.E.Carroll+        ## 11856004  #dY:50.0%  
          5.49         0.17       0.0012       0.0002  # 1966,E.E.Carroll+        ## 11856004  #dY:16.7%  
          6.02         0.18       0.0022       0.0003  # 1966,E.E.Carroll+        ## 11856004  #dY:13.6%  
          6.48         0.19        0.003        0.001  # 1990,S.M.Qaim+           ## 22180004  #dY:33.3%  
          7.18         0.13       0.0037       0.0007  # 1990,S.M.Qaim+           ## 22180004  #dY:18.9%  
           7.7         0.13       0.0049       0.0007  # 1990,S.M.Qaim+           ## 22180004  #dY:14.3%  
          8.21         0.13       0.0067       0.0009  # 1990,S.M.Qaim+           ## 22180005  #dY:13.4%  
          8.72         0.14        0.008       0.0013  # 1990,S.M.Qaim+           ## 22180005  #dY:16.2%  
          9.19         0.19       0.0099       0.0015  # 1990,S.M.Qaim+           ## 22180005  #dY:15.2%  
          9.64         0.22       0.0122        0.002  # 1990,S.M.Qaim+           ## 22180005  #dY:16.4%  
         10.13         0.23       0.0145       0.0024  # 1990,S.M.Qaim+           ## 22180005  #dY:16.6%  
            14            0         0.04        0.008  # 1964,V.N.Levkovskii      ## 40016011  #dY:20.0%  
          14.1            0       0.0317       0.0014  # 1960,C.H.Reed            ## 11896009  #dY:4.4%   
          14.6          0.2         0.18        0.043  # 1962,P.Strohal+          ## 30008023  #dY:23.9%  
          14.7          0.3        0.029        0.004  # 1974,S.M.Qaim+           ## 20513012  #dY:13.8%  
