#ZVView-data-copy:  30-May-2023 21:18:29
#=======================================
#
#name:   56-BA-137(N,INL)56-BA-137-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  46
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
     0.0004329            0       0.2804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004901            0       0.2804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004934            0       0.2804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004941            0        1.963            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004948            0        3.084            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0004955            0        1.121            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005032            0       0.8411            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005096            0       0.8411            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005103            0        1.963            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005113            0       0.2804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005163            0       0.2804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005479            0       0.2804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005603            0       0.2804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005617            0       0.5607            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005637            0       0.2804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005661            0       0.2804            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005697            0       0.5607            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005711            0       0.8411            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005724            0        1.963            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005731            0        3.925            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005738            0        10.09            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005741            0        6.449            0  # 1998,P.E.Koehler+        ## 13695003             
     0.0005745            0        17.66            0  # 1998,P.E.Koehler+        ## 13695003             
