#ZVView-data-copy:  30-May-2023 21:20:45
#=======================================
#
#name:   56-BA-138(N,A)54-XE-135-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  22
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         14.81            0        0.899     0.034791  # 2016,A.A.Filatenkov      ## 41614157  #dY:3.9%   
         14.86            0         0.94     0.033558  # 2016,A.A.Filatenkov      ## 41614157  #dY:3.6%   
         14.87         0.05        0.983     0.043252  # 2001,H.Sakane+           ## 22662013  #dY:4.4%   
         14.94            0        0.912        0.049  # 1988,Y.Ikeda+            ## 22089103  #dY:5.4%   
        16.075         0.41      0.99327      0.05381  # 2000,A.Fessler+          ## 22414023  #dY:5.4%   
        17.036        0.295       1.0605      0.05613  # 2000,A.Fessler+          ## 22414023  #dY:5.3%   
        17.791         0.27       1.1104       0.0633  # 2000,A.Fessler+          ## 22414023  #dY:5.7%   
        19.115         0.28      0.94123      0.06001  # 2000,A.Fessler+          ## 22414023  #dY:6.4%   
        20.325        0.285      0.67141      0.05068  # 2000,A.Fessler+          ## 22414023  #dY:7.5%   
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-138(N,G)56-BA-139,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  58
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         0.47         0.02  # 1977,G.Gleason           ## 10662012  #dY:4.3%   
       2.53e-8            0        0.403            0  # 2013,F.Farina Arbocco+   ## 23266123             
       2.53e-8            0        0.402            0  # 2013,F.Farina Arbocco+   ## 23266123             
       2.53e-8            0        0.405      0.00567  # 1988,F.De Corte+         ## 23488059  #dY:1.4%   
       2.53e-8            0         0.58         0.01  # 2010,B.J.B.Nyarko+       ## 31698010  #dY:1.7%   
       2.53e-8            0         0.53         0.01  # 2011,S.E.Agbemava+       ## 31700002  #dY:1.9%   
       2.53e-8            0         0.41        0.023  # 2016,P.Panikkath+        ## 33097002  #dY:5.6%   
       2.53e-8            0        0.386        0.019  # 2016,P.Panikkath+        ## 33097003  #dY:4.9%   
         0.023       0.0025        0.013       0.0016  # 1974,K.Siddappa+         ## 30502002  #dY:12.3%  
         0.024            0       0.0114       0.0011  # 1957,R.L.Macklin+        ## 11399034  #dY:9.6%   
         0.024            0        0.007        0.001  # 1966,A.K.Chaubey+        ## 30079027  #dY:14.3%  
         0.024       0.0025        0.013       0.0016  # 1973,M.Sriramachandra    ## 31712023  #dY:12.3%  
         0.024            0       0.0084       0.0004  # 1958,V.N.Kononov+        ## 40421020  #dY:4.8%   
         0.084       0.0115      0.00362      0.00031  # 1961,Ju.Ya.Stavisskiy+   ## 40642004  #dY:8.6%   
          0.13        0.014        0.003      0.00022  # 1961,Ju.Ya.Stavisskiy+   ## 40642004  #dY:7.3%   
         0.149            0      0.00269            0  # 1959,A.E.Johnsrud+       ## 11675016             
         0.195        0.025       0.0032       0.0003  # 1959,W.S.Lyon+           ## 11407024  #dY:9.4%   
           0.2        0.015      0.00516       0.0008  # 1958,A.I.Leipunskiy+     ## 40244079  #dY:15.5%  
         0.203            0      0.00221            0  # 1959,A.E.Johnsrud+       ## 11675016             
          0.25            0       0.0023            0  # 1959,A.E.Johnsrud+       ## 11675016             
         0.303            0      0.00233            0  # 1959,A.E.Johnsrud+       ## 11675016             
          0.31            0      0.00195            0  # 1959,A.E.Johnsrud+       ## 11675016             
         0.355            0      0.00206            0  # 1959,A.E.Johnsrud+       ## 11675016             
         0.405            0      0.00232            0  # 1959,A.E.Johnsrud+       ## 11675016             
          0.46            0      0.00205            0  # 1959,A.E.Johnsrud+       ## 11675016             
