#ZVView-data-copy:  30-May-2023 22:22:29
#=======================================
#
#name:   47-AG-109(N,2N)47-AG-108-G,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  66
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        21.626       0.5375        0.211       0.0029  # 2016,N.Fotiades+         ## 14461013  #dY:1.4%   
        23.886       0.6255       0.1542       0.0026  # 2016,N.Fotiades+         ## 14461013  #dY:1.7%   
        26.526       0.7335       0.1252       0.0025  # 2016,N.Fotiades+         ## 14461013  #dY:2.0%   
        29.639        0.869       0.1035       0.0023  # 2016,N.Fotiades+         ## 14461013  #dY:2.2%   
        33.346       1.0405       0.1007       0.0022  # 2016,N.Fotiades+         ## 14461013  #dY:2.2%   
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-109(N,P)46-PD-109,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  24
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
             7        0.125       0.0006       0.0001  # 1961,B.P.Bayhurst+       ## 11462014  #dY:16.7%  
             8        0.125       0.0011       0.0001  # 1961,B.P.Bayhurst+       ## 11462014  #dY:9.1%   
          12.2         0.09       0.0083       0.0006  # 1961,B.P.Bayhurst+       ## 11462014  #dY:7.2%   
          13.4          0.1        0.012       0.0006  # 1961,B.P.Bayhurst+       ## 11462014  #dY:5.0%   
         13.52        0.075       0.0123       0.0006  # 1961,B.P.Bayhurst+       ## 11462014  #dY:4.9%   
         13.69         0.05       0.0131       0.0007  # 1961,B.P.Bayhurst+       ## 11462014  #dY:5.3%   
         13.88         0.05       0.0132       0.0007  # 1961,B.P.Bayhurst+       ## 11462014  #dY:5.3%   
            14            0        0.011        0.002  # 1964,V.N.Levkovskii      ## 40016026  #dY:18.2%  
            14            0       0.0105        0.002  # 1956,B.G.Dzantijev+      ## 40710002  #dY:19.0%  
          14.3            0       0.0154       0.0008  # 1988,T.B.Ryves+          ## 22100007  #dY:5.2%   
         14.31        0.065       0.0143       0.0007  # 1961,B.P.Bayhurst+       ## 11462014  #dY:4.9%   
          14.5          0.1       0.0149       0.0007  # 1961,B.P.Bayhurst+       ## 11462014  #dY:4.7%   
          14.5            0       0.0125     0.001875  # 1959,R.F.Coleman+        ## 21440002  #dY:15.0%  
         14.68         0.13       0.0149       0.0007  # 1961,B.P.Bayhurst+       ## 11462014  #dY:4.7%   
          14.7         0.25       0.0179       0.0028  # 1971,I.Wagner+           ## 21426011  #dY:15.6%  
          14.8         0.25        0.007        0.001  # 1971,R.Prasad+           ## 30336034  #dY:14.3%  
          14.8          0.5        0.014        0.002  # 1985,J.P.Gupta+          ## 30707019  #dY:14.3%  
          14.8            0       0.0037      0.00074  # 1961,S.K.Mukherjee+      ## 31161012  #dY:20.0%  
          14.8            0        0.017        0.002  # 1970,V.N.Levkovskii+     ## 40226027  #dY:11.8%  
         14.81        0.155       0.0148       0.0007  # 1961,B.P.Bayhurst+       ## 11462014  #dY:4.7%   
         14.93         0.18       0.0147       0.0007  # 1961,B.P.Bayhurst+       ## 11462014  #dY:4.8%   
          16.5         0.15       0.0148        0.001  # 1961,B.P.Bayhurst+       ## 11462014  #dY:6.8%   
         17.95         0.16       0.0148        0.001  # 1961,B.P.Bayhurst+       ## 11462014  #dY:6.8%   
         19.76        0.215       0.0153       0.0011  # 1961,B.P.Bayhurst+       ## 11462014  #dY:7.2%   
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-109(N,N+A)45-RH-105,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  1
#data...
#            X         +-dX            Y  # Comments...
#          MeV          MeV        barns  # Year,Author(s)           ## EXFOR-ID
          14.7          0.2       0.0006            0  # 1963,E.T.Bramlitt+       ## 11590067             
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-109(N,G)47-AG-110,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  45
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        2.5e-8            0           91            4  # 1982,V.A.Anufriev+       ## 40622011  #dY:4.4%   
       2.53e-8            0           92            2  # 1960,R.B.Tattersall+     ## 20638030  #dY:2.2%   
         0.003            0          2.6            0  # 1960,L.W.Weston+         ## 11818008             
         0.003        0.003         3.61            0  # 1946,G.A.Linenberger+    ## 11945004             
         0.004            0          2.6            0  # 1960,L.W.Weston+         ## 11818008             
         0.005            0          2.1            0  # 1960,L.W.Weston+         ## 11818008             
         0.008            0          1.7            0  # 1960,L.W.Weston+         ## 11818008             
          0.01            0         1.48            0  # 1960,L.W.Weston+         ## 11818008             
         0.015            0         1.32            0  # 1960,L.W.Weston+         ## 11818008             
         0.016        0.012         1.06            0  # 1946,G.A.Linenberger+    ## 11945004             
         0.018            0         1.48            0  # 1960,L.W.Weston+         ## 11818008             
          0.02            0         1.35            0  # 1960,L.W.Weston+         ## 11818008             
         0.024            0         1.74         0.26  # 1970,W.W.Campbell        ## 13497004  #dY:14.9%  
         0.025            0         1.27            0  # 1960,L.W.Weston+         ## 11818008             
