#ZVView-data-copy:  30-May-2023 21:05:31
#=======================================
#
#name:   63-EU-151(N,G)63-EU-152,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  292
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
     0.0002685       2.5e-6         82.2        5.754  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000274         3e-6         66.7        4.669  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0002795       2.5e-6          101         7.07  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000285         3e-6         92.5        6.475  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000291         3e-6         58.7        4.109  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000297         3e-6          108         7.56  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000303         3e-6          103         7.21  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0003095       3.5e-6         62.1        4.347  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0003165       3.5e-6         67.1        4.697  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0003235       3.5e-6         94.2        6.594  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0003305       3.5e-6         79.5        5.565  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000338         4e-6         57.9        4.053  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0003455       3.5e-6         72.4        5.068  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
       0.00035         5e-5        74.95       0.8412  # 1976,M.C.Moxon+          ## 20489003  #dY:1.1%   
      0.000353         4e-6         55.7        3.899  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
       0.00036       8.8e-5         68.2         7.57  # 2017,J.Lee+              ## 23181002  #dY:11.1%  
     0.0003615       4.5e-6         48.5        3.395  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000417         5e-6         57.4        4.018  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0004275       5.5e-6         61.5        4.305  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0004385       5.5e-6         43.9        3.073  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0004495       5.5e-6         63.9        4.473  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
       0.00045         5e-5         69.1       0.9014  # 1976,M.C.Moxon+          ## 20489003  #dY:1.3%   
      0.000461         6e-6         66.6        4.662  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000473         6e-6         74.1        5.187  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0004855       6.5e-6         61.9        4.333  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000499         7e-6         66.7        4.669  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000513         7e-6         57.4        4.018  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000527         7e-6         57.5        4.025  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0005415       7.5e-6         54.8        3.836  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
       0.00055         5e-5        59.07       0.9283  # 1976,M.C.Moxon+          ## 20489003  #dY:1.6%   
      0.000557         8e-6         49.3        3.451  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0005735       8.5e-6         52.8        3.696  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0005905       8.5e-6         53.3        3.731  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0005935    0.0001455         51.9          6.3  # 2017,J.Lee+              ## 23181002  #dY:12.1%  
      0.000608         9e-6         62.9        4.403  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0006265       9.5e-6         45.1        3.157  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000646         1e-5         55.4        3.878  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
       0.00065         5e-5        57.13       0.8243  # 1976,M.C.Moxon+          ## 20489003  #dY:1.4%   
     0.0006665      1.05e-5         44.4        3.108  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0006875      1.05e-5         45.5        3.185  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0007095      1.15e-5         44.8        3.136  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000733       1.2e-5         37.3        2.611  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
       0.00075         5e-5        48.48       0.7803  # 1976,M.C.Moxon+          ## 20489003  #dY:1.6%   
     0.0007575      1.25e-5         46.7        3.269  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
      0.000783       1.3e-5           45         3.15  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
       0.00081       1.4e-5         42.8        2.996  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
     0.0008385      1.45e-5         47.1        3.297  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
       0.00085         5e-5        52.29       0.7664  # 1976,M.C.Moxon+          ## 20489003  #dY:1.5%   
     0.0008685      1.55e-5         55.6        3.892  # 1970,J.B.Czirr           ## 10169006  #dY:7.0%   
