#ZVView-data-copy:  30-May-2023 20:49:41
#=======================================
#
#name:   64-GD-160(N,G)64-GD-161,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  200
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          0.05        0.002        0.138        0.012  # 1977,V.N.Kononov+        ## 40520023  #dY:8.7%   
          0.05        0.002        0.157        0.008  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.1%   
          0.05        0.002        0.157        0.008  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.1%   
         0.054        0.002        0.135        0.012  # 1977,V.N.Kononov+        ## 40520023  #dY:8.9%   
         0.054        0.002        0.145        0.008  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.5%   
         0.054        0.002        0.145        0.008  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.5%   
         0.058        0.002        0.131        0.011  # 1977,V.N.Kononov+        ## 40520023  #dY:8.4%   
         0.058        0.002        0.141        0.008  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.7%   
         0.058        0.002        0.141        0.008  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.7%   
          0.06            0       0.0533            0  # 1972,L.R.Fawcett+        ## 10298004             
         0.062        0.002        0.139        0.008  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.8%   
         0.062        0.002        0.139        0.008  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.8%   
        0.0625       0.0025        0.126        0.011  # 1977,V.N.Kononov+        ## 40520023  #dY:8.7%   
         0.066        0.002        0.134        0.007  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.2%   
         0.066        0.002        0.134        0.007  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.2%   
        0.0675       0.0025         0.12         0.01  # 1977,V.N.Kononov+        ## 40520023  #dY:8.3%   
          0.07            0       0.0518            0  # 1972,L.R.Fawcett+        ## 10298004             
          0.07        0.002        0.132        0.007  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.3%   
          0.07        0.002        0.132        0.007  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.3%   
        0.0725       0.0025        0.115         0.01  # 1977,V.N.Kononov+        ## 40520023  #dY:8.7%   
         0.074        0.002        0.122        0.007  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.7%   
         0.074        0.002        0.122        0.007  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.7%   
        0.0775       0.0025        0.102        0.009  # 1977,V.N.Kononov+        ## 40520023  #dY:8.8%   
         0.078        0.002        0.107        0.006  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.6%   
         0.078        0.002        0.107        0.006  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.6%   
          0.08            0        0.058            0  # 1972,L.R.Fawcett+        ## 10298004             
         0.082        0.002        0.096        0.006  # 1991,M.V.Bokhovko+       ## 41225005  #dY:6.2%   
         0.082        0.002        0.096        0.006  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:6.2%   
         0.084        0.004         0.09        0.008  # 1977,V.N.Kononov+        ## 40520023  #dY:8.9%   
         0.086        0.002        0.085        0.006  # 1991,M.V.Bokhovko+       ## 41225005  #dY:7.1%   
         0.086        0.002        0.085        0.006  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:7.1%   
          0.09            0       0.0368            0  # 1972,L.R.Fawcett+        ## 10298004             
          0.09        0.002        0.077        0.006  # 1991,M.V.Bokhovko+       ## 41225005  #dY:7.8%   
          0.09        0.002        0.077        0.006  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:7.8%   
         0.092        0.004        0.085       0.0075  # 1977,V.N.Kononov+        ## 40520023  #dY:8.8%   
         0.094        0.002        0.071        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.6%   
         0.094        0.002        0.071        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.6%   
         0.098        0.002        0.066        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:6.1%   
         0.098        0.002        0.066        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:6.1%   
           0.1            0       0.0345            0  # 1972,L.R.Fawcett+        ## 10298004             
           0.1        0.004         0.08        0.007  # 1977,V.N.Kononov+        ## 40520023  #dY:8.8%   
         0.105        0.005        0.071        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.6%   
         0.105        0.005        0.071        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.6%   
         0.108        0.004        0.073        0.007  # 1977,V.N.Kononov+        ## 40520023  #dY:9.6%   
         0.115        0.005        0.062        0.005  # 1991,M.V.Bokhovko+       ## 41225005  #dY:8.1%   
         0.115        0.005        0.062        0.005  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:8.1%   
         0.116        0.004        0.074        0.007  # 1977,V.N.Kononov+        ## 40520023  #dY:9.5%   
          0.12            0       0.0281            0  # 1972,L.R.Fawcett+        ## 10298004             
         0.124        0.004         0.07        0.007  # 1977,V.N.Kononov+        ## 40520023  #dY:10.0%  
         0.125        0.005         0.06        0.005  # 1991,M.V.Bokhovko+       ## 41225005  #dY:8.3%   
         0.125        0.005         0.06        0.005  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:8.3%   
         0.132        0.004        0.068        0.007  # 1977,V.N.Kononov+        ## 40520023  #dY:10.3%  
         0.135        0.005        0.051        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:7.8%   
         0.135        0.005        0.051        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:7.8%   
          0.14            0       0.0288            0  # 1972,L.R.Fawcett+        ## 10298004             
          0.14        0.004        0.065        0.007  # 1977,V.N.Kononov+        ## 40520023  #dY:10.8%  
         0.145        0.005        0.049        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:8.2%   
         0.145        0.005        0.049        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:8.2%   
         0.148        0.004        0.058        0.006  # 1977,V.N.Kononov+        ## 40520023  #dY:10.3%  
         0.155        0.005        0.053        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:7.5%   
         0.155        0.005        0.053        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:7.5%   
         0.156        0.004        0.063        0.007  # 1977,V.N.Kononov+        ## 40520023  #dY:11.1%  
          0.16       0.0045       0.0262       0.0084  # 1972,L.R.Fawcett+        ## 10298004  #dY:32.1%  
         0.164        0.004        0.053        0.006  # 1977,V.N.Kononov+        ## 40520023  #dY:11.3%  
         0.165        0.005        0.054        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:7.4%   
         0.165        0.005        0.054        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:7.4%   
         0.172        0.004        0.048        0.005  # 1977,V.N.Kononov+        ## 40520023  #dY:10.4%  
         0.175        0.005        0.052        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:7.7%   
         0.175        0.005        0.052        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:7.7%   
          0.18        0.004        0.045        0.005  # 1977,V.N.Kononov+        ## 40520023  #dY:11.1%  
         0.185        0.005        0.045        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:8.9%   
         0.185        0.005        0.045        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:8.9%   
         0.188        0.004        0.043        0.005  # 1977,V.N.Kononov+        ## 40520023  #dY:11.6%  
         0.195        0.005        0.049        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:8.2%   
         0.195        0.005        0.049        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:8.2%   
         0.196        0.004        0.039        0.005  # 1977,V.N.Kononov+        ## 40520023  #dY:12.8%  
         0.205        0.005        0.046        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:8.7%   
         0.205        0.005        0.046        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:8.7%   
         0.215        0.015         0.04        0.006  # 1977,V.N.Kononov+        ## 40520023  #dY:15.0%  
         0.215        0.005        0.043        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:9.3%   
         0.215        0.005        0.043        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:9.3%   
         0.225        0.005        0.037        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:10.8%  
         0.225        0.005        0.037        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:10.8%  
         0.235        0.005        0.033        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:12.1%  
         0.235        0.005        0.033        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:12.1%  
         0.245        0.015        0.036        0.004  # 1977,V.N.Kononov+        ## 40520023  #dY:11.1%  
         0.245        0.005        0.039        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:10.3%  
         0.245        0.005        0.039        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:10.3%  
         0.255        0.005         0.04        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:10.0%  
         0.255        0.005         0.04        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:10.0%  
         0.265        0.005        0.034        0.003  # 1991,M.V.Bokhovko+       ## 41225005  #dY:8.8%   
         0.265        0.005        0.034        0.003  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:8.8%   
         0.275        0.015        0.031        0.004  # 1977,V.N.Kononov+        ## 40520023  #dY:12.9%  
         0.275        0.005        0.037        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:10.8%  
         0.275        0.005        0.037        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:10.8%  
         0.285        0.005        0.037        0.004  # 1991,M.V.Bokhovko+       ## 41225005  #dY:10.8%  
         0.285        0.005        0.037        0.004  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:10.8%  
         0.295        0.005        0.036        0.003  # 1991,M.V.Bokhovko+       ## 41225005  #dY:8.3%   
         0.295        0.005        0.036        0.003  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:8.3%   
         0.305        0.015        0.028        0.003  # 1977,V.N.Kononov+        ## 40520023  #dY:10.7%  
          0.31         0.01        0.039        0.003  # 1991,M.V.Bokhovko+       ## 41225005  #dY:7.7%   
          0.31         0.01        0.039        0.003  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:7.7%   
          0.33         0.01        0.037        0.003  # 1991,M.V.Bokhovko+       ## 41225005  #dY:8.1%   
          0.33         0.01        0.037        0.003  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:8.1%   
         0.335        0.015        0.025        0.003  # 1977,V.N.Kononov+        ## 40520023  #dY:12.0%  
          0.35         0.01        0.034        0.002  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.9%   
          0.35         0.01        0.034        0.002  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.9%   
          0.37         0.01        0.036        0.002  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.6%   
          0.37         0.01        0.036        0.002  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.6%   
          0.39         0.01        0.037        0.002  # 1991,M.V.Bokhovko+       ## 41225005  #dY:5.4%   
          0.39         0.01        0.037        0.002  # 1993,M.V.Bokhovko+       ## Y0075005  #dY:5.4%   
          0.46         0.04       0.0237       0.0033  # 1988,R.K.Y.Singh+        ## 30928002  #dY:13.9%  
          0.48         0.04       0.0292        0.006  # 1984,R.K.Y.Singh+        ## 30692002  #dY:20.5%  
           0.5         0.04        0.046        0.006  # 1981,J.Voignier+         ## 21619010  #dY:13.0%  
          0.57         0.04       0.0335       0.0057  # 1988,R.K.Y.Singh+        ## 30928002  #dY:17.0%  
           0.6         0.06       0.0377       0.0072  # 1984,R.K.Y.Singh+        ## 30692002  #dY:19.1%  
          0.75         0.04       0.0309       0.0026  # 1988,R.K.Y.Singh+        ## 30928002  #dY:8.4%   
          0.78         0.07       0.0354       0.0023  # 1984,R.K.Y.Singh+        ## 30692002  #dY:6.5%   
          0.97          0.2       0.0356       0.0055  # 1988,R.K.Y.Singh+        ## 30928002  #dY:15.4%  
          0.98         0.22       0.0419       0.0086  # 1984,R.K.Y.Singh+        ## 30692002  #dY:20.5%  
             1        0.035        0.035        0.005  # 1981,J.Voignier+         ## 21619010  #dY:14.3%  
          1.07          0.2       0.0258       0.0031  # 1986,H.S.Sahota+         ## 30678002  #dY:12.0%  
           1.2         0.29       0.0302       0.0026  # 1984,R.K.Y.Singh+        ## 30692002  #dY:8.6%   
          1.22         0.19       0.0285       0.0034  # 1988,R.K.Y.Singh+        ## 30928002  #dY:11.9%  
          1.48         0.18         0.02       0.0018  # 1986,H.S.Sahota+         ## 30678002  #dY:9.0%   
          1.52         0.17       0.0299       0.0028  # 1988,R.K.Y.Singh+        ## 30928002  #dY:9.4%   
          1.54         0.26       0.0352       0.0022  # 1984,R.K.Y.Singh+        ## 30692002  #dY:6.2%   
          1.89         0.17        0.019       0.0019  # 1986,H.S.Sahota+         ## 30678002  #dY:10.0%  
          2.19         0.21       0.0157       0.0021  # 1984,R.K.Y.Singh+        ## 30692002  #dY:13.4%  
          2.22         0.17       0.0159       0.0022  # 1988,R.K.Y.Singh+        ## 30928002  #dY:13.8%  
           2.3         0.16       0.0142       0.0016  # 1986,H.S.Sahota+         ## 30678002  #dY:11.3%  
           2.5         0.03        0.016        0.003  # 1981,J.Voignier+         ## 21619010  #dY:18.7%  
           2.8        0.035        0.017      0.00221  # 1967,K.G.Broadhead+      ## 11850008  #dY:13.0%  
          2.85         0.15       0.0116       0.0015  # 1986,H.S.Sahota+         ## 30678002  #dY:12.9%  
          3.04         0.18       0.0077       0.0015  # 1984,R.K.Y.Singh+        ## 30692002  #dY:19.5%  
          3.05         0.18       0.0081       0.0017  # 1988,R.K.Y.Singh+        ## 30928002  #dY:21.0%  
          14.5            0       0.0185      0.00555  # 1958,J.L.Perkin+         ## 21438023  #dY:30.0%  
          14.7          0.3        0.001       0.0004  # 1976,M.Valkonen+         ## 20673031  #dY:40.0%  
          14.8          0.4        0.003        0.001  # 1960,R.G.Wille+          ## 12033036  #dY:33.3%  
//
#-------------------------------------------------------------------------------
#
#name:   64-GD-160(N,A)62-SM-157,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  3
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          14.1          0.1      0.00052         9e-5  # 2013,Yanbin Zhang+       ## 32710006  #dY:17.3%  
          14.7          0.1      0.00059         9e-5  # 2013,Yanbin Zhang+       ## 32710006  #dY:15.3%  
          14.8          0.4        0.002        0.001  # 1960,R.G.Wille+          ## 12033035  #dY:50.0%  
//
#-------------------------------------------------------------------------------
#
#name:   JEFF-3.3: GD-160(N,EL)GD-160-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  4008
#data...
#            X            Y
#          MeV        barns
         1e-11      17.0902 
   1.10304e-11      16.3063 
   1.21669e-11      15.5615 
   1.34592e-11      14.8339 
   1.49507e-11      14.1164 
   1.66067e-11      13.4381 
    1.8447e-11      12.7965 
   2.04902e-11      12.1905 
    2.2761e-11      11.6176 
    2.5282e-11       11.077 
   2.80838e-11      10.5664 
   3.11944e-11      10.0851 
   3.46513e-11      9.63119 
   3.84893e-11      9.20377 
   4.27547e-11      8.80122 
   4.74903e-11      8.42278 
   5.27531e-11      8.06698 
   5.85962e-11       7.7331 
   6.55456e-11      7.39974 
   7.33192e-11      7.08884 
   8.20148e-11      6.79931 
   9.17417e-11       6.5301 
   1.02622e-10       6.2802 
   1.14793e-10      6.04863 
   1.29314e-10       5.8216 
   1.45663e-10      5.61324 
   1.64088e-10      5.42231 
   1.86138e-10      5.23815 
   2.11151e-10      5.07131 
   2.41203e-10      4.91273 
   2.77476e-10      4.76374 
   3.19204e-10      4.63168 
   3.69798e-10      4.50959 
   4.31412e-10      4.39813 
   5.10392e-10      4.29357 
    6.0806e-10      4.20118 
   7.34675e-10      4.11761 
   9.06483e-10      4.04136 
    1.14219e-9      3.97401 
    1.48016e-9      3.91485 
    1.98646e-9      3.86388 
    2.79985e-9       3.8206 
    4.26249e-9      3.78433 
    7.20834e-9      3.75595 
