#ZVView-data-copy:  30-May-2023 20:45:01
#=======================================
#
#name:   64-GD-157(N,G)64-GD-158,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  71
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0       264000         4500  # 1958,N.J.Pattenden       ## 21325021  #dY:1.7%   
         0.129        0.006         0.49         0.03  # 1989,Y.Nakajima+         ## 21925003  #dY:6.1%   
         0.177        0.009         0.36         0.03  # 1989,Y.Nakajima+         ## 21925003  #dY:8.3%   
         0.197        0.011         0.35         0.03  # 1989,Y.Nakajima+         ## 21925003  #dY:8.6%   
        0.2215       0.0135         0.35         0.03  # 1989,Y.Nakajima+         ## 21925003  #dY:8.6%   
           0.5         0.04        0.247        0.032  # 1981,J.Voignier+         ## 21619008  #dY:13.0%  
             1        0.035        0.104        0.012  # 1981,J.Voignier+         ## 21619008  #dY:11.5%  
           2.5         0.03        0.035        0.005  # 1981,J.Voignier+         ## 21619008  #dY:14.3%  
//
#-------------------------------------------------------------------------------
#
#name:   64-GD-157(N,G)64-GD-158,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  45
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        0.0035       0.0005        5.094            0  # 1988,H.Beer+             ## 12964005             
         0.004        0.001        5.063      0.26328  # 1995,K.Wisshak+          ## 22386012  #dY:5.2%   
         0.005        0.001        4.159            0  # 1988,H.Beer+             ## 12964005             
       0.00625      0.00125        3.576     0.092976  # 1995,K.Wisshak+          ## 22386012  #dY:2.6%   
         0.007        0.001        3.264            0  # 1988,H.Beer+             ## 12964005             
       0.00875      0.00125        2.898     0.069552  # 1995,K.Wisshak+          ## 22386012  #dY:2.4%   
         0.009        0.001        2.774            0  # 1988,H.Beer+             ## 12964005             
       0.01125      0.00125        2.319     0.041742  # 1995,K.Wisshak+          ## 22386012  #dY:1.8%   
        0.0125       0.0025        2.175            0  # 1988,H.Beer+             ## 12964005             
       0.01375      0.00125        2.105      0.03368  # 1995,K.Wisshak+          ## 22386012  #dY:1.6%   
        0.0175       0.0025        1.889            0  # 1988,H.Beer+             ## 12964005             
        0.0175       0.0025        1.893      0.01893  # 1995,K.Wisshak+          ## 22386012  #dY:1.0%   
          0.02        0.005        2.216          0.1  # 2007,W.C.Chung+          ## 22932010  #dY:4.5%   
        0.0225       0.0025        1.618     0.014562  # 1995,K.Wisshak+          ## 22386012  #dY:0.9%   
         0.025        0.005        1.532            0  # 1988,H.Beer+             ## 12964005             
        0.0275       0.0025         1.49      0.01043  # 1995,K.Wisshak+          ## 22386012  #dY:0.7%   
          0.03        0.005        1.661        0.071  # 2007,W.C.Chung+          ## 22932010  #dY:4.3%   
         0.035        0.005        1.272            0  # 1988,H.Beer+             ## 12964005             
         0.035        0.005         1.29      0.00774  # 1995,K.Wisshak+          ## 22386012  #dY:0.6%   
