#ZVView-data-copy:  30-May-2023 21:48:02
#=======================================
#
#name:   40-ZR-90(N,2N)40-ZR-89,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  181
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         14.19         0.01       0.6475       0.0071  # 1982,A.Pavlik+           ## 21807003  #dY:1.1%   
         14.19            0        0.646     0.012145  # 2016,A.A.Filatenkov      ## 41614060  #dY:1.9%   
          14.2          0.1       0.6779       0.0285  # 1969,A.Abboud+           ## 30028004  #dY:4.2%   
         14.24            0        0.662        0.032  # 1988,Y.Ikeda+            ## 22089053  #dY:4.8%   
        14.265         0.01       0.6747       0.0075  # 1982,A.Pavlik+           ## 21807003  #dY:1.1%   
          14.3            0         0.69      0.03657  # 1986,Y.Ikeda+            ## 21945003  #dY:5.3%   
         14.31         0.13        0.716        0.021  # 1961,R.J.Prestwood+      ## 11645014  #dY:2.9%   
         14.31         0.03        0.693        0.025  # 1982,A.Pavlik+           ## 21807002  #dY:3.6%   
         14.33            0        0.704        0.029  # 1987,T.Iguchi+           ## 23008003  #dY:4.1%   
        14.345         0.01       0.6934       0.0075  # 1982,A.Pavlik+           ## 21807003  #dY:1.1%   
         14.35        0.065       0.7227       0.0297  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
         14.35         0.02       0.7106       0.0156  # 1996,Qiu Jiuzi+          ## 32754002  #dY:2.2%   
         14.37            0        0.382        0.016  # 1993,Y.Ikeda+            ## 22312005  #dY:4.2%   
         14.39            0        0.743            0  # 1982,J.Csikai            ## 30640007             
         14.42            0         0.71     0.014129  # 2016,A.A.Filatenkov      ## 41614060  #dY:2.0%   
         14.45            0        0.718        0.034  # 1988,Y.Ikeda+            ## 22089053  #dY:4.7%   
         14.48        0.015       0.7343       0.0082  # 1982,A.Pavlik+           ## 21807003  #dY:1.1%   
          14.5          0.2        0.768        0.023  # 1961,R.J.Prestwood+      ## 11645014  #dY:3.0%   
          14.5            0        0.761     0.040333  # 1986,Y.Ikeda+            ## 21945003  #dY:5.3%   
         14.52        0.055       0.7592       0.0058  # 1969,A.Abboud+           ## 30028004  #dY:0.8%   
         14.58        0.085       0.7742       0.0219  # 1984,Zhao Wenrong+       ## 30686002  #dY:2.8%   
         14.58            0         0.69        0.062  # 1991,N.I.Molla+          ## 30985005  #dY:9.0%   
          14.6          0.1        0.793         0.06  # 1969,R.C.Barrall+        ## 10022018  #dY:7.6%   
          14.6          0.2        0.502        0.036  # 1962,P.Strohal+          ## 30008013  #dY:7.2%   
          14.6            0        0.588        0.055  # 1973,J.Araminowicz+      ## 30264027  #dY:9.4%   
         14.61        0.015       0.7638       0.0085  # 1982,A.Pavlik+           ## 21807003  #dY:1.1%   
         14.61            0        0.747     0.015164  # 2016,A.A.Filatenkov      ## 41614060  #dY:2.0%   
         14.62         0.02       0.7754       0.0171  # 1996,Qiu Jiuzi+          ## 32754002  #dY:2.2%   
         14.65            0        0.693        0.039  # 1993,Y.Ikeda+            ## 22312005  #dY:5.6%   
         14.66        0.015        0.775       0.0085  # 1982,A.Pavlik+           ## 21807003  #dY:1.1%   
         14.66            0        0.819            0  # 1982,J.Csikai            ## 30640007             
         14.67            0        0.795     0.042135  # 1986,Y.Ikeda+            ## 21945003  #dY:5.3%   
         14.68         0.26        0.822        0.025  # 1961,R.J.Prestwood+      ## 11645014  #dY:3.0%   
         14.68            0        0.786        0.037  # 1988,Y.Ikeda+            ## 22089053  #dY:4.7%   
          14.7          0.1        0.747      0.03735  # 1966,R.Rieder+           ## 20033010  #dY:5.0%   
          14.7          0.3        0.768        0.078  # 1974,S.M.Qaim+           ## 20513009  #dY:10.2%  
          14.7            0        0.953        0.097  # 1968,B.Minetti+          ## 20891014  #dY:10.2%  
          14.7          0.3        0.754        0.029  # 1985,B.Anders+           ## 21976026  #dY:3.8%   
          14.7            0        0.785        0.032  # 1987,T.Iguchi+           ## 23008003  #dY:4.1%   
         14.71        0.015       0.7846       0.0084  # 1982,A.Pavlik+           ## 21807003  #dY:1.1%   
         14.76            0        0.786        0.032  # 1987,T.Iguchi+           ## 23008003  #dY:4.1%   
         14.77         0.09       0.8567       0.0312  # 1984,Zhao Wenrong+       ## 30686003  #dY:3.6%   
         14.78        0.015       0.8051       0.0089  # 1982,A.Pavlik+           ## 21807003  #dY:1.1%   
         14.78            0        0.852            0  # 1982,J.Csikai            ## 30640007             
         14.78            0        0.785     0.015229  # 2016,A.A.Filatenkov      ## 41614060  #dY:1.9%   
          14.8          0.2        0.485        0.029  # 1971,A.Bari              ## 10431039  #dY:6.0%   
          14.8          0.1        0.763        0.048  # 1975,R.A.Sigg+           ## 10477009  #dY:6.3%   
          14.8          0.3        0.517        0.047  # 1978,S.L.Sothras+        ## 10751002  #dY:9.1%   
          14.8            0        0.823     0.043619  # 1986,Y.Ikeda+            ## 21945003  #dY:5.3%   
          14.8          0.2         0.84         0.04  # 2010,V.Semkova+          ## 22822013  #dY:4.8%   
          14.8        0.095       0.8778        0.036  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
          14.8          0.3        0.889        0.057  # 1982,A.Chiadli+          ## 30697003  #dY:6.4%   
          14.8         0.17        0.763         0.01  # 1987,I.F.Goncalves+      ## 30740003  #dY:1.3%   
          14.8         0.17        0.824       0.0783  # 1986,N.I.Molla+          ## 30825013  #dY:9.5%   
          14.8            0        0.796        0.153  # 2003,T.D.Thiep+          ## 31543015  #dY:19.2%  
          14.8         0.02       0.8255       0.0182  # 1996,Qiu Jiuzi+          ## 32754002  #dY:2.2%   
         14.81         0.31        0.838        0.025  # 1961,R.J.Prestwood+      ## 11645014  #dY:3.0%   
         14.83        0.015       0.8149       0.0098  # 1982,A.Pavlik+           ## 21807003  #dY:1.2%   
         14.83            0         0.81        0.072  # 1991,N.I.Molla+          ## 30985005  #dY:8.9%   
         14.86         0.07       0.8157       0.0155  # 1969,A.Abboud+           ## 30028004  #dY:1.9%   
         14.88            0         0.85      0.04505  # 1986,Y.Ikeda+            ## 21945003  #dY:5.3%   
         14.91            0        0.842     0.044626  # 1986,Y.Ikeda+            ## 21945003  #dY:5.3%   
         14.93         0.36        0.856        0.026  # 1961,R.J.Prestwood+      ## 11645014  #dY:3.0%   
         14.95            0        0.832         0.04  # 1988,Y.Ikeda+            ## 22089053  #dY:4.8%   
         14.95            0        0.834        0.033  # 1993,Y.Ikeda+            ## 22312005  #dY:4.0%   
         15.07            0          0.8         0.12  # 1967,J.Csikai+           ## 30033011  #dY:15.0%  
         15.08        0.035        0.874        0.031  # 1982,A.Pavlik+           ## 21807002  #dY:3.5%   
         15.14        0.065       0.8855        0.004  # 1969,A.Abboud+           ## 30028004  #dY:0.5%   
          15.3          0.2         0.88         0.06  # 2010,V.Semkova+          ## 22822013  #dY:6.8%   
         15.33         0.06       1.0012       0.0065  # 1969,A.Abboud+           ## 30028004  #dY:0.6%   
         15.33        0.075       0.8919       0.0366  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
          15.4          0.2         0.92         0.05  # 2010,V.Semkova+          ## 22822013  #dY:5.4%   
         15.49         0.07       0.9937       0.0044  # 1969,A.Abboud+           ## 30028004  #dY:0.4%   
          15.6          0.2         0.96         0.04  # 2010,V.Semkova+          ## 22822013  #dY:4.2%   
         15.65        0.085       0.9711       0.0399  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
        15.895         0.04        0.993        0.035  # 1982,A.Pavlik+           ## 21807002  #dY:3.5%   
         15.92        0.105       1.0536       0.0111  # 1969,A.Abboud+           ## 30028004  #dY:1.1%   
         16.02         0.08        1.033        0.042  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
         16.23          0.1        1.018        0.044  # 1975,B.P.Bayhurst+       ## 10536016  #dY:4.3%   
         16.23          0.1        0.994        0.042  # 1975,B.P.Bayhurst+       ## 10536016  #dY:4.2%   
         16.28         0.09       1.0246       0.0154  # 1969,A.Abboud+           ## 30028004  #dY:1.5%   
          16.3          0.2         1.09         0.06  # 2010,V.Semkova+          ## 22822013  #dY:5.5%   
         16.45         0.09        1.097        0.045  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
          16.5          0.3        1.115        0.056  # 1961,R.J.Prestwood+      ## 11645014  #dY:5.0%   
         16.58         0.05       1.2256       0.0091  # 1969,A.Abboud+           ## 30028004  #dY:0.7%   
         16.63         0.08        1.098        0.045  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
         16.72         0.04        1.086        0.036  # 1982,A.Pavlik+           ## 21807002  #dY:3.3%   
         17.07         0.05       1.1082       0.0069  # 1969,A.Abboud+           ## 30028004  #dY:0.6%   
         17.12         0.08        1.139        0.047  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
         17.18         0.09        1.165        0.048  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
         17.24         0.17        1.119        0.047  # 1975,B.P.Bayhurst+       ## 10536015  #dY:4.2%   
         17.43         0.09        1.153        0.047  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
         17.51        0.035        1.137        0.038  # 1982,A.Pavlik+           ## 21807002  #dY:3.3%   
         17.52        0.075        1.187        0.049  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
         17.55        0.055       1.2419        0.009  # 1969,A.Abboud+           ## 30028004  #dY:0.7%   
         17.76         0.09        1.177        0.048  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
          17.8          0.2         1.19         0.07  # 2010,V.Semkova+          ## 22822013  #dY:5.9%   
         17.95         0.32        1.173        0.059  # 1961,R.J.Prestwood+      ## 11645014  #dY:5.0%   
          18.1          0.2         1.15         0.06  # 2010,V.Semkova+          ## 22822013  #dY:5.2%   
         18.12        0.085        1.216         0.05  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
         18.18        0.065       1.3858       0.0076  # 1969,A.Abboud+           ## 30028004  #dY:0.5%   
         18.23        0.025        1.166        0.039  # 1982,A.Pavlik+           ## 21807002  #dY:3.3%   
         18.24         0.09        1.125        0.048  # 1975,B.P.Bayhurst+       ## 10536015  #dY:4.3%   
         18.24        0.085        1.216         0.05  # 1984,Zhao Wenrong+       ## 30686003  #dY:4.1%   
        18.825         0.03        1.197         0.04  # 1982,A.Pavlik+           ## 21807002  #dY:3.3%   
          19.1          0.2         1.24         0.09  # 2010,V.Semkova+          ## 22822013  #dY:7.3%   
        19.265        0.025        1.207         0.04  # 1982,A.Pavlik+           ## 21807002  #dY:3.3%   
          19.3          0.2         1.23         0.08  # 2010,V.Semkova+          ## 22822013  #dY:6.5%   
          19.4          0.2         1.17         0.06  # 2010,V.Semkova+          ## 22822013  #dY:5.1%   
        19.525         0.02        1.219        0.041  # 1982,A.Pavlik+           ## 21807002  #dY:3.4%   
         19.76         0.43        1.169        0.058  # 1961,R.J.Prestwood+      ## 11645014  #dY:5.0%   
          19.9          0.2          1.2         0.07  # 2010,V.Semkova+          ## 22822013  #dY:5.8%   
         19.98          0.1        1.225        0.052  # 1975,B.P.Bayhurst+       ## 10536015  #dY:4.2%   
          20.6          0.1          1.2         0.08  # 2010,V.Semkova+          ## 22822013  #dY:6.7%   
         22.02         0.13        1.174            0  # 1975,B.P.Bayhurst+       ## 10536015             
         23.33         0.13         1.15            0  # 1975,B.P.Bayhurst+       ## 10536015             
         24.49         0.12         1.07            0  # 1975,B.P.Bayhurst+       ## 10536015             
         26.06         0.12         0.95            0  # 1975,B.P.Bayhurst+       ## 10536016             
         27.99         0.19         0.75            0  # 1975,B.P.Bayhurst+       ## 10536016             
//
#-------------------------------------------------------------------------------
#
#name:   40-ZR-90(N,P)39-Y-90-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  86
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          5.38            0       4.4e-5         9e-6  # 1991,P.Raics+            ## 30988003  #dY:20.5%  
         5.409         0.15         5e-5         1e-5  # 1990,M.Ibn Majah+        ## 22144002  #dY:20.0%  
         5.524        0.131      0.00011         1e-5  # 1990,M.Ibn Majah+        ## 22144002  #dY:9.1%   
          5.89            0     0.000145         8e-6  # 1991,P.Raics+            ## 30988003  #dY:5.5%   
         6.102        0.125      0.00019         2e-5  # 1990,M.Ibn Majah+        ## 22144002  #dY:10.5%  
          6.39            0      0.00036       0.0001  # 1991,P.Raics+            ## 30988003  #dY:27.8%  
          6.48        0.189      0.00054         6e-5  # 1990,M.Ibn Majah+        ## 22144002  #dY:11.1%  
           6.8            0      0.00058      0.00014  # 1991,P.Raics+            ## 30988003  #dY:24.1%  
          7.16         0.17      0.00109         5e-5  # 1998,R.Doczi+            ## 31495009  #dY:4.6%   
          7.18        0.127      0.00098       0.0001  # 1990,M.Ibn Majah+        ## 22144002  #dY:10.2%  
         7.704         0.13      0.00142      0.00015  # 1990,M.Ibn Majah+        ## 22144002  #dY:10.6%  
           8.2            0      0.00175         4e-5  # 1991,P.Raics+            ## 30988003  #dY:2.3%   
         8.215        0.128      0.00185       0.0002  # 1990,M.Ibn Majah+        ## 22144008  #dY:10.8%  
          8.43            0       0.0019         4e-5  # 1991,P.Raics+            ## 30988003  #dY:2.1%   
         8.716         0.14      0.00296       0.0003  # 1990,M.Ibn Majah+        ## 22144008  #dY:10.1%  
          8.92            0       0.0025         3e-5  # 1991,P.Raics+            ## 30988003  #dY:1.2%   
         9.187        0.188      0.00337      0.00036  # 1990,M.Ibn Majah+        ## 22144008  #dY:10.7%  
          9.43            0      0.00278         6e-5  # 1991,P.Raics+            ## 30988003  #dY:2.2%   
         9.643        0.214      0.00345      0.00036  # 1990,M.Ibn Majah+        ## 22144008  #dY:10.4%  
          9.85         0.19       0.0031      0.00045  # 2012,P.M.Prajapati+      ## 33037005  #dY:14.5%  
          9.92         0.19       0.0027      0.00027  # 1998,R.Doczi+            ## 31495009  #dY:10.0%  
        10.127        0.226      0.00446      0.00045  # 1990,M.Ibn Majah+        ## 22144008  #dY:10.1%  
         10.23            0      0.00386         5e-5  # 1991,P.Raics+            ## 30988003  #dY:1.3%   
        10.614        0.221      0.00547      0.00055  # 1990,M.Ibn Majah+        ## 22144008  #dY:10.1%  
         10.95            0      0.00541         7e-5  # 1991,P.Raics+            ## 30988003  #dY:1.3%   
         11.19          0.2      0.00488      0.00024  # 1998,R.Doczi+            ## 31495009  #dY:4.9%   
         11.34         0.22      0.00659       0.0005  # 1998,R.Doczi+            ## 31495009  #dY:7.6%   
         11.44         0.21       0.0076       0.0005  # 2001,M.Ibn Majah+        ## 22664004  #dY:6.6%   
         11.56            0      0.00562         8e-5  # 1991,P.Raics+            ## 30988003  #dY:1.4%   
         12.25            0      0.00908       0.0001  # 1991,P.Raics+            ## 30988003  #dY:1.1%   
         12.37          0.2       0.0114       0.0008  # 2001,M.Ibn Majah+        ## 22664004  #dY:7.0%   
         12.53         0.25      0.00791      0.00039  # 1998,R.Doczi+            ## 31495009  #dY:4.9%   
          13.1          0.2       0.0112       0.0008  # 2010,V.Semkova+          ## 22822003  #dY:7.1%   
         13.33            0      0.01108      0.00079  # 1988,Y.Ikeda+            ## 22089054  #dY:7.1%   
          13.4          0.4       0.0098       0.0012  # 1990,A.Marcinkowski+     ## 30940002  #dY:12.2%  
         13.56            0       0.0107     0.000535  # 2016,A.A.Filatenkov      ## 41614057  #dY:5.0%   
         13.57            0      0.01139      0.00081  # 1988,Y.Ikeda+            ## 22089054  #dY:7.1%   
          13.6          0.3       0.0116       0.0013  # 1990,A.Marcinkowski+     ## 30940002  #dY:11.2%  
         13.64            0       0.0129            0  # 1991,N.I.Molla+          ## 30985006             
         13.74            0       0.0112   0.00056784  # 2016,A.A.Filatenkov      ## 41614057  #dY:5.1%   
